Suffix,Place Name,State,Lat,Long
ncoln,Lincoln,AL,33.6131588,-86.1183061
ville,Abbeville,AL,31.5718352,-85.2504893
ville,Acipcoville,AL,33.5562162,-86.8430471
ville,Adamsville,AL,33.6009389,-86.9561059
hill,Adkin Hill,AL,32.6090206,-86.3110828
ville,Adville,AL,33.8839885,-86.6447135
city,Alabama City,AL,34.0223194,-86.0455285
ville,Albertville,AL,34.2675937,-86.2088669
city,Alexander City,AL,32.944012,-85.9538532
ights,Alexander Heights,AL,34.847309,-87.6808615
ville,Aliceville,AL,33.1295681,-88.1514166
ville,Allenville,AL,30.7029675,-88.0788886
ville,Allenville,AL,32.490969,-87.6608407
sboro,Allsboro,AL,34.6942587,-88.1103182
ead,Armstead,AL,33.8820433,-86.5247095
ford,Ashford,AL,31.1829562,-85.236321
wood,Atwood,AL,34.3606537,-87.9950366
ville,Austinville,AL,34.5748149,-87.0086207
ville,Autaugaville,AL,32.4340249,-86.6547019
tates,Bailey Cove Estates,AL,34.6650911,-86.5441575
rings,Bailey Springs,AL,34.8956408,-87.5714145
town,Baileytown,AL,34.1637082,-86.6597169
hill,Bald Hill,AL,31.1637872,-85.6354893
ead,Bankhead,AL,33.776775,-87.3011153
field,Barfield,AL,33.3612239,-85.7157931
rest,Barnisdale Forest,AL,33.5901036,-86.6785992
ett,Barrett,AL,31.1921208,-85.4207668
ville,Bartonville,AL,33.5748264,-86.7805459
hill,Battery Hill,AL,34.9528584,-85.7083041
rings,Bay Springs,AL,34.1759289,-85.7155209
view,Bay View,AL,33.5587173,-86.9736057
side,Bayside,AL,34.5564818,-86.9675079
town,Beaver Town,AL,33.1945672,-88.198086
wood,Beechwood,AL,32.1259773,-86.6560885
lair,Bel Air,AL,33.5851037,-86.721378
rest,Belforest,AL,30.6038033,-87.8524923
ville,Belleville,AL,31.4298882,-87.109144
wood,Bellwood,AL,31.1732308,-85.7932681
ights,Belview Heights,AL,34.7150898,-87.6916966
wood,Belwood,AL,33.4681631,-86.9116587
hills,Bentley Hills,AL,33.5134382,-86.7444329
hills,Berkley Hills,AL,33.6173254,-86.6969333
ead,Bessemer Homestead,AL,33.4037209,-86.9388811
creek,Big Creek,AL,31.0685135,-85.4338222
oak,Big Oak,AL,34.8509193,-87.4533568
hill,Billy Goat Hill,AL,34.1942618,-85.6949648
creek,Black Creek,AL,33.6142704,-86.781102
wood,Blackwood,AL,31.3873937,-85.4082681
rings,Bladon Springs,AL,31.7307135,-88.1975111
che,Blanche,AL,34.3634232,-85.6099634
sburg,Blossburg,AL,33.6306607,-86.9466618
rings,Blount Springs,AL,33.9312115,-86.7941636
ville,Blountsville,AL,34.0814863,-86.5911027
rings,Blue Springs,AL,34.1264856,-86.5427678
bluff,Bluff,AL,33.8206623,-87.9064128
rings,Boley Springs,AL,33.6431675,-87.5100061
ing,Bolling,AL,31.7254334,-86.7058078
ville,Bonneville,AL,34.8464764,-86.9358392
ights,Booker Heights,AL,33.5426068,-87.0072173
ville,Boromville,AL,32.3065342,-85.4416119
ford,Bradford,AL,33.7520454,-86.7038799
town,Brandontown,AL,34.7495353,-86.6344387
ing,Brantley Crossing,AL,31.4965526,-87.1191458
ville,Brewersville,AL,32.5165261,-88.0919659
hill,Briar Hill,AL,31.9590403,-86.1299589
hill,Brides Hill,AL,34.6703683,-87.2441854
ead,Bridgehead,AL,30.6679684,-87.9111055
tates,Bridlewood Forest Estates,AL,33.630103,-86.6952669
place,Brooklane Place,AL,33.4373312,-86.9819378
lyn,Brooklyn,AL,31.2626708,-86.7710749
lyn,Brooklyn,AL,31.3129461,-86.1710596
lyn,Brooklyn,AL,34.2259295,-86.6152711
side,Brookside,AL,33.6378825,-86.9166612
ville,Brooksville,AL,34.1620404,-86.4755431
ville,Brooksville,AL,34.5009267,-86.8550033
wood,Brookwood,AL,33.2556719,-87.3208336
rest,Brookwood Forest,AL,34.7956443,-86.9305614
