Placename,Lat,Long
Aakulam,8.5340258,76.9011387
Afzalgunj,17.3737123,78.4719367
Aghamkuan,25.5978961,85.1939793
Ali Prem Garden,28.6931842,77.3496093
Amherst Street,22.5821309,88.3690509
Ansupa lake,20.4598656,85.5934578
Aranmanaivasal,9.848017,78.4800417
Badarpur Junction,24.8651264,92.5536226
Basheer Bagh Palace,17.3997871,78.4744263
Bellada Bagewadi,16.2944093,74.5897386
Besant Nagar,12.9982507,80.2594824
Bheemsamudra Road,14.2167185,76.3731173
Bhitoripaam,27.2450825,93.9325082
Boodhan Pochampally,17.3461719,78.8165924
Charaimoria,27.2739996,94.1226328
Chattanchal,12.4806811,75.0506865
Chellappa Gounder Street,11.0081476,76.9610394
Chinna Muttom,8.0941198,77.5523957
Chunar Fort,25.1233557,82.8735554
Cornfield Road,22.5229202,88.3656016
Dhauli Hills,20.192289,85.6917415
Eastern Freeway,19.0132927,72.867119
Ekadthangal,13.0225369,80.1932582
Elephanta Island,18.9598141,72.8616534
Frejarpura,20.9324073,77.7740568
GN Palayam,11.9230557,79.7708487
Gulati Chowk,30.88833,75.8380608
Hatibagan,22.5979763,88.3662742
Humayun Road,28.6027922,77.2257319
Inder Bawa Marg,30.3669432,78.0723999
Indira Dam,26.8291951,81.0663798
Iyyer Bungalow,9.9677495,78.1261277
Jumerati,23.2629434,77.4003902
Kalan Masjid,28.6444376,77.2279644
Kasaiwada,19.0601671,72.8753493
Khapri Lake,20.994905,79.1524635
Khobramenda,20.5418565,80.4010712
Kondathu Kaliamman Temple,11.3463899,77.171066
Kongaon,19.2445746,73.0030303
Kovilkadavu,10.2528087,77.1522802
Krishanraja Sagar,12.4254815,76.5702494
Kuttippadom,10.0937689,76.4547586
Lakhan Ke Padde,31.5130919,75.4022383
Laporte Street,11.9312768,79.8273102
Lingambudhi Lake,12.2693926,76.6032232
Manakudi Road,8.1104709,77.48471
Manassery,11.3162826,75.9684037
Maranthalai,8.620493,78.0510878
Mattuthavani,9.9442077,78.1539752
Moolakadai,13.1288753,80.2370433
Morivali,19.1853147,73.2512265
Moulivakkam,13.021513,80.1355685
Mujmahuda,22.2754716,73.1599482
Nalban Food Park,22.5684959,88.4282359
Nangaguda,19.6607538,82.2047281
Navamukunda Temple,10.8637234,75.9795387
Navarathinapuram,9.9126436,78.1268048
Navegaon Bandh,20.9196191,80.0666703
Old Rajarajeswaripeta,16.5337378,80.6186092
Padmavathy Street,13.0236562,80.1516615
Palam Vihar,28.5107929,77.0158431
Palani Hills,10.2000209,77.4912452
Palanipet,13.0776401,79.6740462
Pallithottam,8.8764846,76.5877571
Palluruthy Veli,9.920466,76.271428
Panchal Ghat Durwasa Ashram,27.4005702,79.6100999
Pangam Bridge,18.52785,82.1373567
Parimalam Mahal,11.3261385,77.683837
Patrakarpuram,26.8549007,80.9993116
Periyakkatupalayam,11.8515901,79.770387
Phulewadi Road,16.6935226,74.2015761
Rabindra Sarovar,22.5122497,88.3639759
Ramamurthy Nagar,13.0156785,77.6685706
Rampura Basti,28.0460227,73.3093419
Rupi Palace,31.962295,77.1109118
Saipriya Beach Resorts,26.2226262,87.5938648
Sankaranpalayam,12.9037233,79.1331954
Sarakkalvilai,8.1507071,77.4373321
Sarvaboumanagar,12.9116047,77.5493165
Sathyamurthy Bhavan,13.0617072,80.264507
Shahupuri Gymkhana,16.703759,74.2422339
Shyamtarai,20.6871991,81.5120721
Suchi Pind,31.339237,75.6080047
Sujata Chowk,23.3536174,85.3222107
Sunpedh,28.2862166,77.3378947
Swarlagondi,15.8640484,80.9648287
Thangasseri,8.8872711,76.5616932
Thaticheltapalem,17.7352776,83.2823746
Thillagar Thidal,10.3867039,78.8155156
Thirumuruganpoondi,11.3027872,77.0545461
Thiruvakkarai,12.0266659,79.6483577
Thiruvengada Nagar,13.1166996,80.1456026
Thyagaraja Layout,12.9231125,77.6970094
Valluvarkottam,13.0517206,80.2408313
Veeramarasanpettai,10.7693988,78.9558764
Vitthal Ramji Shinde Bridge,18.5211155,73.8471957
Wanowrie Bazaar,18.4958282,73.892313
Yerrangali,15.2539838,76.8287976
Yusmarg,33.8315872,74.6622139
Zainabia Imambara,18.9594749,72.8286826
