Placename,Lat,Long
Thamaraipadi,10.4050637,78.0359302
Kottampadi,11.6296706,78.5371496
Varhadi,21.1377159,79.0822827
Mananthavadi,11.8045868,76.0071542
Kankawadi,27.312988,76.4045551
Walhekarwadi,18.6314337,73.7731185
Kudalwadi,18.6784404,73.8165022
Myladi,11.3152298,76.22929939
Purasaradi,9.8806577,78.1141639
Wakadewadi,18.54309895,73.85263408
Ranganadi,27.2969966,94.0184712
Bheemanadi,12.3240963,75.2885509
Edappadi,11.63040055,77.84783944
Kuttiyadi,11.5552828,75.9218623
Sanewadi,18.5546995,73.80768052
Vyasarpadi,13.1169726,80.2571242
Aikkarappadi,11.1745368,75.8980641
Kirloskarwadi,17.0834306,74.4215602
Haikadi,13.558884,74.8892917
Belthangadi,12.9903521,75.2825052
Shappupadi,9.5408038,76.762467
Karumadi,9.3820022,76.3873734
Uttaradi,12.7833772,76.2421993
Kavaradi,8.4918088,76.932706
Mohammadwadi,18.4736299,73.9239365
Vorkkadi,12.7558301,74.9384934
Mahanadi,20.860055,84.149394
Kurinchipadi,11.560854,79.5975832
Oushadi,9.5580749,76.57299946
Pulachiwadi,18.516366,73.8466847
Sawadi,18.378735,74.9873179
Kalammawadi,16.28659565,74.01115854
Banasawadi,13.0150607,77.3649316
Alagaradi,9.9296433,78.1090187
Puthanangadi,10.9640561,76.1846851
Kolsewadi,19.2314914,73.1368687
Kacherippadi,11.107041,76.1189485
Untawadi,19.9848595,73.7574097
Rajputwadi,16.7460282,74.19127
Bainganwadi,19.0590268,72.9243739
Kuruppampadi,10.1131818,76.5190664
Nalawadi,15.3659311,75.3415823
Bibwewadi,18.484199,73.8854919
Kammaradi,13.5837969,75.2127483
Kalinadi,15.27582995,74.52773446
Methalangadi,11.2380402,76.049238
Mudarangadi,13.1773984,74.8247196
Bibvewadi,18.4781739,73.862105
Thorappadi,12.889965,79.1227994
Valluvadi,11.662185,76.3266343
Puthadi,9.9420652,77.2041157
Kootilangadi,11.0333152,76.1035544
Lalgadi,17.6327343,78.6080789
Kothampadi,11.62641,78.542199
Badamwadi,18.9573954,72.8150072
Anangadi,11.1112248,75.8355249
Aaganwadi,26.17,85.9
Railadi,10.783333,79.136111
Keezhadi,9.8638889,78.1883333
Kumananchavadi,13.0456249,80.1153909
Tilakwadi,15.8368581,74.5019281
Ayikkarapadi,11.1756653,75.89755118
Ayikkarappadi,11.1745368,75.8980641
Thirurangadi,11.0429293,75.9126523
Hinjewadi,18.5918309,73.6889041
Ammadi,13.5451096,75.3508741
Maruthadi,8.9170025,76.544278
Kunnathangadi,10.4978734,76.1594427
Ambalappadi,11.1264865,76.08929236
Janawadi,18.5290675,73.8285984
Tharangampadi,11.0957477,79.6454896
Pakhadi,19.0963204,72.8643595
Narsobawadi,16.7720747,74.5613617
Hinjawadi,18.5678722,73.7679845
