Placename,Lat,Long
Sisiborgaon,27.567644,94.6838772
Kashigaon,19.2703629,72.8858475
Dolaigaon,26.5039401,90.5375993
Asudgaon,19.01389305,73.10814923
Chaygaon,26.0551154,91.3703245
Kharegaon,19.2050447,72.9994986
Khelgaon,23.38783885,85.39245706
lambgaon,30.5132083,78.4959433
Lohegaon,18.58033,73.91838555
Janagaon,17.7226509,79.1517868
Lambagaon,31.8989042,76.5594777
Khanugaon,23.26087065,77.37551137
Kongaon,19.2492562,73.1052393
Haibargaon,26.3564809,92.672848
Mazagaon,18.9697337,72.8406201
Vadagaon,18.4659813,73.8246309
Chhegaon,21.8301963,76.2177607
Moragaon,19.1180578,72.82188391
Dhamalgaon,27.3875356,94.8376753
Galigaon,26.4186664,91.4086043
Tasagaon,17.0295253,74.6078344
Donagaon,18.2696712,77.2485638
Badongaon,30.4474065,78.5765684
Nevegaon,20.9755673,80.1651854
Aathgaon,26.1691075,91.7401827
Chadeigaon,21.4114431,83.5612392
