Placename,Lat,Long
Tummachetlapalle,14.1917295,79.3092155
Thambalapalle,13.8529409,78.3448014
Mallelavaripalle,13.4630103,78.8875333
Adinimmayapalle,14.6013744,78.7377744
Gattuvaripalle,13.4610142,78.8907266
Naravaripalle,13.6222937,79.263573
Tavanampalle,13.266991,79.0037569
Sundupalle,13.9728425,78.94468678
Ankapalle,17.6941104,82.9801739
Kongareddipalle,13.2146065,79.1148908
Balapalle,13.8115549,79.4064823
Nayanoripalle,14.080621,78.8341465
Uppavaripalle,14.8300604,79.0676699
Perantalapalle,17.4661288,81.4758217
Jeedipalle,17.7432505,78.4716725
Ananthampalle,14.2383588,79.2327796
Mallemvaripalle,14.0960181,79.1474115
Narasimharajugaripalle,14.2276668,78.6913415
