Placename,Lat,Long
Madhampatti,10.9728355,76.8599985
Pethappampatti,10.67755135,77.21588074
Meenampatti,10.4873055,79.0188861
Oothupatti,10.8734291,77.8824617
Reddypatti,11.5786715,78.0404366
Seethapatti,10.7219207,78.163925
Pappirettipatti,11.975328,78.3974826
Genguvarpatti,10.1730861,77.6957265
Harveypatti,9.877645,78.0615125
Pattiveeranpatti,10.2084554,77.76104202
Veeranampatti,10.2862917,78.6746835
Mannavelampatti,10.4259763,78.717944
Seelanaickenpatti,11.6225098,78.1441326
Rajalipatti,10.6098044,78.470546
Thottipatti,11.1940116,78.1192418
Keelapatti,9.5149045,77.6371459
Paparapatti,12.2100334,78.0558916
Veerampatti,10.6435479,78.7559223
Silukuvarpatti,10.152081,77.8854354
Kondichettipatti,11.201039,78.163161
Pillayarpatti,10.1225597,78.6692601
Munainjipatti,8.5178035,77.8002355
Koolipatti,11.2100643,78.2017085
Kundalapatti,10.587541,77.1301799
Pethanadarpatti,8.8933847,77.4087485
Maruthampatti,11.050008,78.221498
Velagoundanpatti,11.2874645,78.0683496
Kallamanaickanpatti,9.3776064,77.7102567
Kunnakudipatti,10.3611065,78.7354946
Thulukkampatti,10.5747283,78.7261712
Kosavapatti,10.1538709,78.9104175
Mandalpatti,12.5460548,75.7019173
Muthalaipatti,11.2637158,78.1675577
Pallathupatti,10.5696238,78.8566017
Kaayampatti,10.2879385,78.8040733
Udaiyalipatti,10.6062506,78.8961482
Madathupatti,9.3747984,77.7781069
Therkkupatti,10.4070548,78.984822
Thennathiraiyanpatti,10.6143178,78.8183856
Koothampatti,11.135467,77.7094375
Panayapatti,10.2506301,78.7476021
Kutladampatti,10.0925201,77.9963647
Thevanpatti,10.2568379,78.4926152
Manapatti,10.2952856,78.5400152
Aandipatti,10.2780787,78.8073993
Kadiyapatti,10.2351734,78.7888598
Samiyarpatti,10.2728001,77.9258309
Venkatampatti,12.0806854,78.1528802
Mudukkupatti,10.2296832,78.8069272
Ponmalaipatti,10.780104,78.721004
Athangaraipatti,10.2974391,78.8660752
Muthalipatti,10.3986444,78.7000143
Dadagapatti,11.633611,78.152022
Kalingipatti,10.5436564,78.6976647
Pooluvapatti,10.9596773,76.8149681
Sarvanampatti,11.0783323,77.003821
Udayanpatti,10.4743925,78.7512874
Sundararajanpatti,10.0662624,78.2389721
Salaipatti,10.9801854,78.6746406
Solagampatti,10.5956837,79.0146267
Solaipatti,9.7401469,77.8761736
Edamalaipatti,10.7749102,78.6708619
Ottupatti,10.2302639,77.8683633
Mahalipatti,9.9108872,78.1249895
Pasumalaipatti,10.5141848,78.7820148
Chinnavedampatti,11.0629428,76.9843304
Hasthampatti,11.6759778,78.1595751
Thevarappanpatti,10.2180606,77.7524665
Morappampatti,11.7500618,78.0309536
Puthupatti,11.1528893,78.2120592
Panaimarathupatti,11.0790504,78.1343643
