Placename,Lat,Long
Gobindopur,23.1529,87.5847
Kestopur,22.5492755,88.5349025
Mullickpur,22.8133323,88.9282488
Thrikkaripur,12.098668,75.1907673
Kehsapur,18.89996,81.34823
Yeswanthpur,13.02383,77.5529215
Jagadevpur,17.7634077,78.8114319
Yeshwanthpur,13.02183455,77.54768594
Chikkaballapur,13.4352549,77.7306866
Trikaripur,12.1429432,75.1755366
Bhusandapur,19.9460289,85.4710378
Raghurajpur,19.8853717,85.8265431
Meethapur,28.4921466,77.3248817
Gomtipur,23.0136957,72.620581
Chickballapur,13.4387854,77.7205744
Ananadpur,31.2389501,76.4952198
Seelampur,28.6698165,77.2668137
Johripur,28.7187381,77.2787616
Amnapur,17.0464083,74.4641905
Thiruvappur,10.3791953,78.7964451
Ogulapur,18.234385,79.1188656
Eglaspur,18.4892519,78.658667
Alwarpur,31.43,75.65
Biraharekrushnapur,19.849984,85.84172804
Ankshapur,17.436465,78.741412
Sardeipur,20.8455026,85.6592311
Qutbullapur,17.4993272,78.4532137
Mohibullapur,26.9096328,80.9395109
Saraswathpur,15.4399469,75.0104538
Keezhvaipur,9.4324309,76.67092505
Ranasinghpur,20.4856568,85.1015046
Kathalapur,18.7495555,78.6866207
Rachapur,19.0533366,78.4303905
Doddaballapur,13.2929583,77.5431463
Jonapur,28.4632963,77.1519695
Shahjahnpur,27.8556488,79.8950002
Manickpur,19.3730169,72.82770183
Baruipur,22.3436457,88.48960971
Tapalpur,19.0599674,79.0744759
Possangipur,28.6238109,77.08394345
Monirampur,22.7456608,88.2288799
Illupur,10.51702765,78.61631993
Lalpalpur,27.3262215,80.184364
Khaitalpur,25.4294498,83.0589577
Jashpur,22.8759331,84.1381159
Saptapur,15.4581048,75.0060974
Yeswantapur,13.0237854,77.55076505
Holenarasipur,12.786087,76.244037
Muzzaffarpur,26.1196607,85.390982
Padigapur,17.8175029,80.2878794
