Placename,Lat,Long
Scofieldtown,41.1337928,-73.5605726
OCDChinatown,40.713641,-73.9963214
Wormtown,42.263049,-71.7935744
Kerrytown,42.2851987,-83.7498925
Corktown,42.3287906,-83.0796542
Jingletown,37.776608,-122.2439128
Bungtown,39.1001,-82.0116
Quarrytown,41.3723628,-81.8570955
Overtown,25.7880119,-80.2151742
Africatown,30.7363175,-88.0726432
Allenstown,43.1388372,-71.4270684
Philipstown,41.410017,-73.9804602
Hollandtown,44.2505905,-88.1807523
Titletown,44.5040549,-88.0683448
Rubbertown,38.2133897,-85.8467428
Copperstown,42.7002464,-74.9392872
Walshtown,42.8973335,-97.425032
Leestown,38.1031964,-84.5747143
Dolsontown,41.423035,-74.4186876
Juneautown,43.0421624,-87.9123187
Hangtown,38.7307376,-120.8360109
