Placename,Lat,Long
Globeville,39.7804352,-105.000004
Farville,35.8458555,-90.5552898
LaGrangeville,41.6450279,-73.7830232
Gainsville,34.2921563,-83.8976779
Clairsville,40.077111,-80.9185181
Raisinville,41.9484948,-83.5770821
Burrillville,41.9710608,-71.7647151
Beville,29.171927,-81.0390376
Bonnville,43.3178026,-112.9033035
Larkinville,42.8747601,-78.8596715
Hornellsville,42.3412725,-77.7390241
Purcelville,39.1397116,-77.7288124
Aggieville,39.1856216,-96.5766105
Schuyerville,43.1014509,-73.5917297
Sissionville,38.5026805,-81.6746505
Kreischerville,40.5290955,-74.2638951
Wrigleyville,41.949485,-87.6636074
Batchelorville,43.2117538,-74.090551
Photoville,40.7033374,-73.9961409
Schereville,41.479095,-87.4781084
Egbertville,40.5785814,-74.133068
Coombsville,38.2999334,-122.2994255
Monteville,40.9020071,-74.4307637
Coitsville,41.0972373,-80.602517
Cortlandville,42.587797,-76.2352186
Wrigglyville,41.949485,-87.6636074
Fajitaville,27.8208579,-97.3901037
Basketville,42.976489,-72.5225605
Bournville,39.2840438,-83.1676442
Knucklesville,34.4745558,-84.0319985
Monksville,41.1228888,-74.3083491
