adi_DensityBasedClustering4minfeature.OBJECTID,adi_DensityBasedClustering4minfeature.SOURCE_ID,cluster,adi_DensityBasedClustering4minfeature.PROB,adi_DensityBasedClustering4minfeature.OUTLIER,adi_DensityBasedClustering4minfeature.EXEMPLAR,adi_DensityBasedClustering4minfeature.STABILITY,adi_DensityBasedClustering4minfeature.COLOR_ID,adi.FID,Suffix,State,Placename,Lat,Long
2,1,347,0.74791422,0.25208578,0,0,4,1,adi,Andhra Pradesh,Banadi,17.95715,83.05506
3,2,645,0.616875998,0.383124002,0,0,1,2,adi,Andhra Pradesh,Chappadi,18.25787,82.98524
4,3,645,0.580724116,0.419275884,0,0,1,3,adi,Andhra Pradesh,Chellubadi,18.31942,82.88687
5,4,38,0.659456928,0.340543072,0,0,3,4,adi,Andhra Pradesh,Dabbadi,17.37712,82.36891
12,11,22,1,0,1,0,5,11,adi,Andhra Pradesh,Handri Khairawadi,15.70666,77.64623
13,12,4,1,0,1,0,7,12,adi,Andhra Pradesh,Jaladi,16.13029,80.24601
14,13,22,0.41917917,0.58082083,0,0,5,13,adi,Andhra Pradesh,Jalvadi,15.7983,77.37979
17,16,4,1,0,1,0,7,16,adi,Andhra Pradesh,Karavadi,15.5844,80.08003
18,17,347,0.854649193,0.145350807,0,0,4,17,adi,Andhra Pradesh,Kommadi,17.82433,83.34058
21,20,4,1,0,1,0,7,20,adi,Andhra Pradesh,Malladi,16.5819,80.27686
22,21,3,1,0,1,0,3,21,adi,Andhra Pradesh,Mandadi,16.43798,79.40677
24,23,248,1,0,1,0,2,23,adi,Andhra Pradesh,Moogavadi,13.36727,78.42366
26,25,22,0.444997708,0.555002292,0,0,5,25,adi,Andhra Pradesh,Nadikhairavadi,15.92221,77.46822
27,26,784,1,0,1,0,2,26,adi,Andhra Pradesh,Neradi,18.90979,83.81318
28,27,650,1,0,1,0,3,27,adi,Andhra Pradesh,Neradi,18.74754,83.89747
30,29,645,0.495775099,0.504224901,0,0,1,29,adi,Andhra Pradesh,Padi,18.33455,82.863
31,30,38,1,0,1,0,3,30,adi,Andhra Pradesh,Padi,17.65499,82.21783
32,31,347,1,0,1,0,4,31,adi,Andhra Pradesh,Peddagadi,17.78976,83.19484
33,32,650,1,0,1,0,3,32,adi,Andhra Pradesh,Peddamadi,18.74754,83.89747
36,35,347,1,0,1,0,4,35,adi,Andhra Pradesh,Pinagadi,17.81334,83.17648
38,37,419,0.967295225,0.032704775,0,0,8,37,adi,Andhra Pradesh,Ranambadi,18.08053,82.66401
39,38,418,1,0,1,0,7,38,adi,Andhra Pradesh,Regadi,18.03956,82.54853
42,41,248,0.539587649,0.460412351,0,0,2,41,adi,Andhra Pradesh,Sivadi,13.29842,78.68396
44,43,347,0.773009656,0.226990344,0,0,4,43,adi,Andhra Pradesh,Tantadi,17.5655,82.98174
45,44,347,1,0,1,0,4,44,adi,Andhra Pradesh,Thadi,17.68932,83.10351
46,45,650,0.917765582,0.082234418,0,0,3,45,adi,Andhra Pradesh,Thottadi,18.66651,83.81356
52,51,418,1,0,1,0,7,51,adi,Andhra Pradesh,Vannadi,18.28472,82.58842
54,53,4,0.917497766,0.082502234,0,0,7,53,adi,Andhra Pradesh,Veladi,16.74985,80.29927
61,60,16,2.907E-308,1,0,,6,60,adi,Arunachal Pradesh,Padi,27.87892,94.82253
65,64,10,1,0,1,0,4,64,adi,Assam,Akadi,26.29555,91.49752
66,65,12,1,0,1,0,6,65,adi,Assam,Angradi,26.27226,91.35396
67,66,13,1,0,1,0,7,66,adi,Assam,Bamun Baradi,26.33965,91.02631
68,67,12,1,0,1,0,6,67,adi,Assam,Bamunangradi,26.27064,91.34286
69,68,13,0.963530078,0.036469922,0,0,7,68,adi,Assam,Bar Baradi,26.28341,91.08981
70,69,13,1,0,1,0,7,69,adi,Assam,Baradi,26.33965,91.02631
71,70,14,1,0,1,0,8,70,adi,Assam,Barfaladi,26.36994,91.21971
72,71,11,1,0,1,0,5,71,adi,Assam,Boginadi,27.75462,95.11287
73,72,11,1,0,1,0,5,72,adi,Assam,Boginadi,27.75462,95.11287
74,73,15,1,0,1,,4,73,adi,Assam,Borajan Adi,27.47525,94.56184
