Cluster,Placename,State,Lat,Long
347,Pinnagadi,Andhra Pradesh,17.805369,83.173324
645,Khindubadi,Andhra Pradesh,18.358826999999998,83.003644
38,Padi,Andhra Pradesh,17.654989999999998,82.21783
22,Pedda Maravadi,Andhra Pradesh,15.765929000000002,77.583329
4,Jaladi,Andhra Pradesh,16.13029,80.24601
3,Mandadi,Andhra Pradesh,16.43798,79.40677
248,Bangavadi,Karnataka,13.27309,78.55100999999999
784,Chinna Madi,Odisha,18.919444,83.907964
650,Pedda Madi,Andhra Pradesh,18.711863,83.899553
419,Malpadi,Andhra Pradesh,18.029872,82.774684
418,Onadi,Andhra Pradesh,18.18998,82.526422
16,Cilli Adi,Assam,27.687559999999998,94.81782
10,Akadi,Assam,26.29555,91.49752
12,Angradi,Assam,26.27226,91.35396
13,Bamun Baradi,Assam,26.33965,91.02631
14,Barfaladi,Assam,26.369940000000003,91.21970999999999
11,Boginadi,Assam,27.754620000000003,95.11287
15,Borajan Adi,Assam,27.47525,94.56184
18,Bordoibam Bagan No.1/10 Myadi,Assam,27.435640000000003,94.30738000000001
7,Chinanadi,Assam,25.93329,92.70123000000001
17,Lilabari No.1 Mayadi,Assam,27.411440000000002,94.19393000000001
1,Jongsherhadi,Assam,25.17878,93.01120999999999
6,Sonairupai Nadi,Assam,26.892182000000002,92.567701
431,Murhadi,Bihar,26.444059999999997,86.25981999999999
666,Bela Parsadi,Bihar,25.60579,87.12361999999999
485,Thora Nadi,Bihar,25.467029,84.016982
659,Ratua Nadi,Bihar,26.180249,87.696815
678,Sonhar Nadi,Bihar,25.430112,86.844862
479,Kataha Nadi,Bihar,27.240052000000002,84.476865
653,Fariani Nadi,Bihar,25.999414,87.244271
776,Gandaki Nadi,Bihar,25.764477,85.026371
873,Baragai Nadi,Bihar,25.157604,85.694923
1074,Chilka Nadi,Jharkhand,24.588127,86.317148
1183,Sarsuti Nadi,Jharkhand,23.765978,83.73395699999999
692,Patabahar Nadi,Chhattisgarh,20.108795999999998,82.298918
731,Pagar Nadi,Chhattisgarh,20.662518,82.062795
858,Deodha Nadi,Chhattisgarh,20.027541,80.741815
689,Atekonhadi,Chhattisgarh,20.09158,81.59273
896,Jhura Nadi,Chhattisgarh,21.152094,80.82164399999999
824,Bagnadi,Chhattisgarh,21.079320000000003,80.47104
763,Bargadi,Chhattisgarh,22.014429999999997,82.67884000000001
266,Bawadi,Chhattisgarh,19.587410000000002,81.66149
823,Bendadi,Chhattisgarh,21.00529,80.62838
941,Mohadi,Chhattisgarh,21.540979999999998,81.6978
716,Khaira Nadi,Chhattisgarh,20.734026999999998,82.266481
819,Jajel Nadi,Chhattisgarh,18.492423000000002,81.803085
707,Basikhai Nadi,Chhattisgarh,20.502784,81.250075
888,Kandadi,Chhattisgarh,20.517979999999998,80.7486
687,Hatkul Nadi,Chhattisgarh,20.285708,81.523031
234,Gadadi,Chhattisgarh,19.54415,81.03453
685,Gawadi,Chhattisgarh,20.09788,81.15743
690,Bandankuram Nadi,Chhattisgarh,20.03501,81.419568
686,Bhanpur Nadi,Chhattisgarh,20.869922,81.46019
783,Hathibadi,Chhattisgarh,22.3754,82.32484000000001
903,Manpur Pahadi,Chhattisgarh,21.6429,81.06089
987,Jolen Nadi,Chhattisgarh,21.7584,83.246332
909,Seojharan Nadi,Chhattisgarh,20.711561,80.615534
825,Kokadi,Chhattisgarh,21.991120000000002,82.26807
779,Tortori Nadi,Chhattisgarh,21.168594,82.25338199999999
778,Kokadi,Chhattisgarh,21.6566,82.16093000000001
677,Puladi,Chhattisgarh,18.9054,81.07699000000001
894,Gudguda Nadi,Chhattisgarh,20.950682,80.779387
271,Balsotha Nadi,Chhattisgarh,23.789022,83.118358
259,Makadi,Chhattisgarh,19.784589999999998,81.90621
697,Patharri Nadi,Chhattisgarh,20.489518,81.610454
960,Murmuri Nadi,Odisha,21.146541,82.951328
989,Tibhuchua Nadi,Chhattisgarh,21.424951,83.180008
1007,Kanhaia Nadi,Chhattisgarh,22.287609,81.699158
897,Kharra Nadi,Chhattisgarh,21.775334,81.888316
304,Angadi,Karnataka,14.89431,74.12583000000001
1148,Khatkankhadi,Gujarat,21.64487,73.56203000000001
1157,Miyawadi,Gujarat,21.22469,73.25665
664,Tarsadi,Gujarat,20.97276,73.01533
1164,Kunvar Khadi,Gujarat,21.59685,73.79894
604,Sardarkhantni Muvadi,Gujarat,23.3384,73.52588
31,Karkadi,Gujarat,21.16311,70.82045
583,Intwadi,Gujarat,22.51568,73.5176
