gaon_DensityBasedClustering4minfeature.OBJECTID,gaon_DensityBasedClustering4minfeature.SOURCE_ID,cluster,gaon_DensityBasedClustering4minfeature.PROB,gaon_DensityBasedClustering4minfeature.OUTLIER,gaon_DensityBasedClustering4minfeature.EXEMPLAR,gaon_DensityBasedClustering4minfeature.STABILITY,gaon_DensityBasedClustering4minfeature.COLOR_ID,gaon.FID,Suffix,State,Placename,Lat,Long
1,0,22,1,0,1,0,6,0,gaon,Arunachal Pradesh,Buragaon,27.29530494,92.38639672
7,6,22,1,0,1,0,6,6,gaon,Arunachal Pradesh,Jigaon,27.12376,92.25443
12,11,22,1,0,1,0,6,11,gaon,Arunachal Pradesh,Shergaon,27.12376,92.25443
13,12,22,1,0,1,0,6,12,gaon,Arunachal Pradesh,Tenzingaon,27.12376,92.25443
14,13,350,1,0,1,0,7,13,gaon,Assam,1 No. Bahoni Gaon,27.35926,95.40926
15,14,330,1,0,1,,2,14,gaon,Assam,1 No. Burgaon,26.21325,92.26577
16,15,142,0.295731984,0.704268016,0,0,7,15,gaon,Assam,1 No. Konwar Gaon,26.93722,94.75351
17,16,187,1,0,1,,2,16,gaon,Assam,1 No. Lengeri Gaon,27.24488,94.86589
18,17,34,1,0,1,,7,17,gaon,Assam,1 No.Bacha Gaon,27.87504,95.75511
19,18,45,1,0,1,,5,18,gaon,Assam,1 No.Bala Gaon,26.09912,91.27222
20,19,34,1,0,1,,7,19,gaon,Assam,2 No. Bacha Gaon,27.87504,95.75511
21,20,45,1,0,1,,5,20,gaon,Assam,2 No. Bala Gaon,26.09912,91.27222
22,21,34,1,0,1,,7,21,gaon,Assam,2 No.Gohain Gaon,27.87504,95.75511
23,22,330,1,0,1,,2,22,gaon,Assam,2.No. Burgaon,26.21325,92.26577
24,23,191,1,0,1,,7,23,gaon,Assam,2No.Adi Kalia Gaon,27.47525,94.56184
25,24,191,1,0,1,,7,24,gaon,Assam,3No.Dasgaon,27.47525,94.56184
26,25,132,1,0,1,0,1,25,gaon,Assam,Abarali Gaon,27.49989,94.71385
27,26,324,1,0,1,0,1,26,gaon,Assam,Abhaipuria Gaon,27.22172,95.39774
28,27,185,1,0,1,,2,27,gaon,Assam,Abhayporia Gaon,26.70141,94.44
31,30,158,1,0,1,,8,30,gaon,Assam,Adabari Gaon,26.93176,92.80853
32,31,102,1,0,1,,4,31,gaon,Assam,Adarsha Gaon,26.2935,94.07851
