Cluster,Placename,State,Lat,Long
22,Jigaon,Arunachal Pradesh,27.123759999999997,92.25443
350,Hatiali Gaon,Assam,27.362579999999998,95.43652
330,1 No. Burgaon,Assam,26.21325,92.26576999999999
142,Asalabari Gaon,Assam,26.920309999999997,94.73141
187,1 No. Lengeri Gaon,Assam,27.24488,94.86589000000001
34,1 No.Bacha Gaon,Assam,27.875040000000002,95.75511
45,1 No.Bala Gaon,Assam,26.099120000000003,91.27221999999999
191,2No.Adi Kalia Gaon,Assam,27.47525,94.56184
132,Abarali Gaon,Assam,27.49989,94.71385
324,Kamar Gaon,Assam,27.229840000000003,95.38748000000001
185,Abhayporia Gaon,Assam,26.70141,94.44
158,Adabari Gaon,Assam,26.931759999999997,92.80853
102,Adarsha Gaon,Assam,26.2935,94.07851
305,Adarsha Gaon,Assam,25.84703,93.42487
294,Adhalkata Gaon,Assam,26.592229999999997,94.18652
103,Jogi Gaon,Assam,26.623179999999998,93.61103
129,Naigaon,Assam,26.567220000000002,90.21328000000001
341,Agni Pothar Gaon,Assam,27.4824,95.1728
273,Baghchong Gaon,Assam,26.686259999999997,92.81631999999999
351,Rajagaon,Assam,26.248140000000003,92.33017
205,Ahom Gaon,Assam,26.500140000000002,93.98529
359,Ahom Gaon,Assam,26.390079999999998,92.79811
281,Ahom Gaon,Assam,26.40898,92.48238
175,Ahom Gaon,Assam,27.625009999999996,95.64912
267,Ajan Bamun Gaon,Assam,26.75072,94.18141999999999
274,Akabasti Gaon,Assam,26.828159999999997,92.80111
290,Akabil Gaon,Assam,26.7346,92.59594
369,Akchek Gaon,Assam,26.12882,92.89706
58,Akhoi Phutia Gaon,Assam,27.23338,94.29892
66,Aktai Gohain Gaon,Assam,27.687559999999998,94.81782
310,Alengi Gaon,Assam,26.59243,94.16161
118,Alengmuria Gaon,Assam,26.65499,93.98395
150,Ali Gaon,Assam,26.27876,90.97841
225,Ali Singa Gaon,Assam,26.70405,92.45655
209,Aliachuk Gaon,Assam,27.3396,94.86242
139,Aliamukhia Gaon,Assam,26.795659999999998,94.31992
316,Alichiga Gaon,Assam,27.279259999999997,95.34076999999999
357,Alikuchi Gaon,Assam,26.282420000000002,92.60308
188,Alimur Gaon,Assam,27.45988,95.04148
223,Alisinga Gaon,Assam,26.665540000000004,92.18422
292,Alisinga Gaon,Assam,26.68882,92.84598000000001
321,Ambari Gaon,Assam,26.22161,93.03529
97,Ambher Gaon,Assam,26.251690000000004,91.56854
161,Amda Gaon,Assam,26.39327,91.12706
241,Amguri Gaon,Assam,27.598509999999997,95.55678
186,Fatikacua Abhaipuria Gaon,Assam,27.2011,94.92019
128,Amingaon,Assam,26.184910000000002,91.6786
224,Amjuli Gaon,Assam,26.74475,92.09442
298,Amlakhi Gaon,Assam,26.441290000000002,92.50509
319,Dablong Gaon,Assam,26.01386,92.86211
113,Amlongsung Gaon,Assam,26.462359999999997,93.92608
291,Da-Ati Gaon,Assam,26.70185,92.83324
334,Ampukhuri Garo Gaon,Assam,26.21626,93.07055
285,Amreng Engti Gaon,Assam,26.01002,93.37748
65,Amrit Gaon,Assam,27.322029999999998,95.82271999999999
169,Amtal Bali Gaon,Assam,26.69885,92.33875
226,Amtal Bher Gaon,Assam,26.70389,92.46263
235,Amtolia Gaon,Assam,26.787370000000003,94.53024
57,Amulguri Gaon,Assam,27.209770000000002,94.44011
141,Anaighoria Gaon,Assam,26.71878,93.9797
64,Andhargaon,Assam,26.64619098,90.75854161
85,Angpong Gaon,Assam,25.93329,92.70123000000001
206,Anka Gaon,Assam,26.49173,93.97575
335,Ara Engti Gaon,Assam,26.209020000000002,93.07263
263,Ara Gaon,Assam,26.829520000000002,92.79786
256,Arabari Gaon,Assam,26.79642,92.57571
138,Changmai Gohain Gaon,Assam,26.78262,94.32226999999999
59,Bali Gaon,Assam,26.868009999999998,93.42515999999999
342,Asomiya Balijan Gaon,Assam,27.4824,95.4537
240,Assomiya Pathar Gaon,Assam,27.46378,95.53822
199,Atapam Gaon,Assam,26.6436,94.18974
210,Athabari Gaon,Assam,27.3657,94.87031
136,Nagaon,Assam,26.34624,91.69017
242,Athengia Gaon,Assam,27.586509999999997,95.59472
197,Athugaon,Assam,26.36937,90.54424
283,Babu Bey Gaon,Assam,26.00573,93.26623000000001
381,Badal Gaon,Assam,26.30054,92.72158
172,Hahinigaon,Assam,26.664270000000002,91.92251999999999
153,Badulipukhuri Maja Gaon,Assam,26.83638,94.43467
73,Bag Gaon,Assam,27.7561,94.96203
6,Bagan Gaon,Assam,24.442220000000002,92.26442
288,Barati Gaon,Assam,26.68641,92.6307
181,Bagari Bari Gaon,Assam,26.703440000000004,92.49851
52,Baghar Gaon,Assam,25.94495,91.11827
111,Baghgaon,Assam,26.19605,93.86265999999999
114,Baghjan Gaon,Assam,27.61399,95.4776
301,Baghmara Gaon,Assam,26.73844,92.63707
349,Jagunpam Gaon,Assam,27.324659999999998,95.37618
68,Baghmora Gaon,Assam,27.3085,95.75035
211,Bagibill Gaon,Assam,27.372290000000003,94.87016
86,Bagichachubagaon,Assam,26.56403,91.81811
171,Bah Mullagaon,Assam,26.598229999999997,91.93276999999999
220,Bahalhabi Gaon,Assam,27.026359999999997,95.01801
183,Bahbari Gaon,Assam,26.82573,92.6732
56,Bahbari Gaon,Assam,26.694640000000003,93.16291
249,Bahek Gaon,Assam,26.7078,94.20881999999999
177,Bahini Gaon,Assam,26.75644,92.11904
170,Bahipukhurigaon,Assam,26.64375,92.31904
79,Bah-Katika Gaon,Assam,27.42287,94.3775
247,Dewangaon,Assam,26.469359999999998,90.56083000000001
203,Bailung Gaon,Assam,26.848540000000003,94.49398000000001
143,Halua Gaon,Assam,26.89439,94.7508
189,Bajatoli Gaon,Assam,27.54816,95.52654
61,Bajegaon,Assam,26.64715,91.28663
104,Bajia Gaon,Assam,26.538,92.92801
196,Bakola Gaon,Assam,26.8882,92.80202
159,Dagaon,Assam,26.43907,91.6177
92,Balagaon,Assam,26.35775,90.87617
8,Balaigaon,Assam,24.57151,92.30965
168,Bali Gaon,Assam,27.48896,94.57276999999999
254,Bali Gaon,Assam,26.0997,93.14
371,Bali Gaon,Assam,26.26009,92.74117
54,Bali Gaon,Assam,26.951240000000002,93.59305
214,Bali Na-Pam Gaon,Assam,27.585390000000004,94.72627
355,Bhakat Gaon,Assam,26.21266,92.44834
140,Baligania Gaon,Assam,26.819000000000003,94.41604
213,Baligaon,Assam,27.57003,94.73082
94,Baligaon,Assam,27.435640000000003,94.30738000000001
69,Baligaon,Assam,26.94217,93.83495
53,Bhalaguri Gaon,Assam,26.88743,93.63091
62,Balijan Forest Gaon,Assam,27.382890000000003,95.90064
328,Balijan Gaon,Assam,27.47355,95.18700000000001
179,Balijan Gaon,Assam,26.70363,92.4804
337,Balijan Gaon,Assam,27.426470000000002,95.32316999999999
259,Balijangaon,Assam,27.362579999999998,95.21863
356,Dalimbari Gaon,Assam,26.18579,92.50604
202,Balimora Gaon,Assam,26.72062,94.47578
361,Borjari Gaon,Assam,26.16149,92.75950999999999
270,Kayai Mari Gaon,Assam,26.706670000000003,92.62387
147,Bam Gaon,Assam,27.540490000000002,94.60457
250,Bamun Gaon,Assam,26.71933,94.19107
80,Merbil Gaon,Assam,27.08254,93.87724
83,Bamun Gaon,Assam,27.22849,94.09444
358,Singia Gaon,Assam,26.363229999999998,92.67103
275,Bamun Gaon,Assam,26.827790000000004,92.80171
260,Bamun Gaon,Assam,25.90914,92.96223
265,Bamungaon,Assam,26.515959999999996,90.50945
116,Debargaon,Assam,26.44838,89.98858
228,Doloi Gaon,Assam,26.425929999999997,91.2041
157,Nagaon,Assam,26.45853,92.00898000000001
293,Bangal Gaon,Assam,26.57501,94.18211
93,Bangal Gaon,Assam,26.07092,91.42479
302,Bangal Gaon,Assam,26.78438,92.62817
152,Bangali Gaon,Assam,26.8382,94.4489
77,Bangali Gaon,Assam,27.018759999999997,93.91675
108,Bangali Gaon,Assam,27.138709999999996,94.75881
117,Bangali Gaon,Assam,26.7896,94.64228
160,Bangaon,Assam,26.45315,91.53658
71,Bangaon,Assam,26.578459999999996,91.54671
216,Dadhi Gaon,Assam,26.512459999999997,91.26321999999999
268,Banmuri Gaon,Assam,26.40312,92.23376999999999
314,Bantana Gaon,Assam,27.38235,95.16858
130,Banugaon,Assam,26.55167,90.16759
289,Bapu Bheti Gaon,Assam,26.683940000000003,92.64678
127,Barapeta Gaon,Assam,26.73355,92.47565999999999
207,Duwari Gaon,Assam,27.07173,94.97063
