palle_DensityBasedClustering4minfeature.OBJECTID,palle_DensityBasedClustering4minfeature.SOURCE_ID,cluster,palle_DensityBasedClustering4minfeature.PROB,palle_DensityBasedClustering4minfeature.OUTLIER,palle_DensityBasedClustering4minfeature.EXEMPLAR,palle_DensityBasedClustering4minfeature.STABILITY,palle_DensityBasedClustering4minfeature.COLOR_ID,palle.FID,Suffix,State,Placename,Lat,Long
1,0,707,1,0,1,0,6,0,palle,Andhra Pradesh,29 -A. Chinta -Makulapalle,13.43198,78.68829
2,1,35,1,0,1,0,8,1,palle,Andhra Pradesh,A. Kothapalle,17.2734,82.41412
3,2,271,0.604410463,0.395589537,0,0,7,2,palle,Andhra Pradesh,A.Kothapalle,14.24357,79.11934
6,5,80,1,0,1,,1,5,palle,Andhra Pradesh,Adagarapalle,17.86397,82.20015
8,7,103,1,0,1,,1,7,palle,Andhra Pradesh,Addampalle,17.44553,81.93244
11,10,421,1,0,1,0,6,10,palle,Andhra Pradesh,Adivigollapalle,14.48773,77.02906
12,11,172,1,0,1,0,8,11,palle,Andhra Pradesh,Adurupalle,14.44269,79.60433
13,12,7,1.2923E-307,1,0,,6,12,palle,Andhra Pradesh,Agarlagokarla Palle,18.73814,84.33896
14,13,371,1,0,1,0,5,13,palle,Andhra Pradesh,Aggichenupalle,13.4299,79.27941
15,14,160,0.894076014,0.105923986,0,0,4,14,palle,Andhra Pradesh,Agiripalle,16.68264,80.78631
17,16,511,1,0,1,0,6,16,palle,Andhra Pradesh,Akkajampalle,14.99861,77.55398
18,17,491,0.946703208,0.053296792,0,0,8,17,palle,Andhra Pradesh,Akkalreddipalle,15.12806,79.01902
21,20,54,1,0,1,0,6,20,palle,Andhra Pradesh,Akkarapalle,18.44761,83.67076
22,21,564,1,0,1,0,8,21,palle,Andhra Pradesh,Akkayapalle,14.46577,78.85738
23,22,8,1,0,1,,7,22,palle,Andhra Pradesh,Akkupalle,18.69215,84.44222
24,23,28,0.284296548,0.715703452,0,0,4,23,palle,Andhra Pradesh,Akurajupalle,16.57065,79.86651
25,24,157,0.17990025,0.82009975,0,0,4,24,palle,Andhra Pradesh,Alamandakothapalle,17.93219,83.03804
26,25,698,1,0,1,0,8,25,palle,Andhra Pradesh,Alapalle,13.09076,78.60881
