Cluster,Placename,State,Lat,Long
707,Chowdepalle,Andhra Pradesh,13.432670000000002,78.68903
35,A. Kothapalle,Andhra Pradesh,17.2734,82.41412
271,Nagireddipalle,Andhra Pradesh,14.26922,79.10165
80,Adagarapalle,Andhra Pradesh,17.863970000000002,82.20015
103,Gandempalle,Andhra Pradesh,17.49118,81.93744000000001
421,Adivigollapalle,Andhra Pradesh,14.487729999999999,77.02906
172,Adurupalle,Andhra Pradesh,14.442689999999999,79.60433
7,Cherukupalle,Andhra Pradesh,18.6875,84.3818
371,Aggichenupalle,Andhra Pradesh,13.4299,79.27941
160,Gollanapalle,Andhra Pradesh,16.634970000000003,80.78302
511,Devarapalle,Andhra Pradesh,14.9908,77.53809
491,Buchampalle,Andhra Pradesh,15.11241,79.01847
54,Akkarapalle,Andhra Pradesh,18.44761,83.67076
564,Akkayapalle,Andhra Pradesh,14.465770000000001,78.85738
8,Akkupalle,Andhra Pradesh,18.69215,84.44221999999999
28,Kamepalle,Andhra Pradesh,16.53331,79.80685
157,Chinanandipalle,Andhra Pradesh,17.95209,83.04828
698,Alapalle,Andhra Pradesh,13.090760000000001,78.60880999999999
554,Alladupalle,Andhra Pradesh,14.7274,78.7243
154,Lankalpalle,Andhra Pradesh,17.197132,81.059102
582,Gunakanepalle,Andhra Pradesh,14.48269,78.13899
380,Amilepalle,Andhra Pradesh,13.768770000000002,78.58145
376,S. Nadim Palle,Andhra Pradesh,13.51419,78.8612
367,Charvaganipalle,Andhra Pradesh,13.366470000000001,79.19632
68,Medipalle,Andhra Pradesh,16.861720000000002,81.7122
434,Lankojana Palle,Andhra Pradesh,15.745989999999999,79.64423000000001
130,Amudalapalle,Andhra Pradesh,16.54917,80.95837
137,Edepalle,Andhra Pradesh,16.40994,81.19339000000001
88,Buvvanapalle,Andhra Pradesh,16.726679999999998,81.41928
477,Anagarlapalle,Andhra Pradesh,12.77436,78.30337
110,Patipalle,Andhra Pradesh,17.636860000000002,82.99342
291,Anantaiahgaripalle,Andhra Pradesh,14.1627,79.18709
429,Kona Palle,Andhra Pradesh,15.5497,79.10195999999999
111,Andalapalle,Andhra Pradesh,17.59825,83.04764
176,Andanapalle,Andhra Pradesh,18.01287,82.53307
451,Bontha Vari Palle,Andhra Pradesh,15.178429999999999,79.28189
170,Bandepalle,Andhra Pradesh,14.24864,79.89123000000001
453,Ankepalle,Andhra Pradesh,15.57634,79.56421
459,Ankireddipalle,Andhra Pradesh,12.91268,78.49435
403,Payasampalle,Andhra Pradesh,14.56833,78.46741999999999
718,Bandameedakammapalle,Andhra Pradesh,13.56445,78.49937
551,Annapusastrula Palle,Andhra Pradesh,14.852429999999998,78.65113000000001
356,Gollapalle,Andhra Pradesh,13.5842,79.4711
237,Anneboinapalle,Andhra Pradesh,15.076089999999999,79.83152
63,Gullipalle,Andhra Pradesh,17.81089,83.16809
16,Chinnakakitapalle,Andhra Pradesh,18.56816,83.96745
18,Dabbakupalle,Andhra Pradesh,16.87681,80.16986999999999
512,Kottakindapalle,Andhra Pradesh,15.006870000000001,77.45064
457,Anumula Palle,Andhra Pradesh,15.51246,78.94814000000001
370,Jangalapalle,Andhra Pradesh,13.18818,79.08763
575,Apparajupalle,Andhra Pradesh,14.41283,78.80142
514,Apparaopalle,Andhra Pradesh,14.54545,78.59397
424,Janampalle,Andhra Pradesh,14.329585999999999,77.037935
685,Appinapalle,Andhra Pradesh,13.298420000000002,78.68396
175,Aragadapalle,Andhra Pradesh,17.99212,82.46902
86,Kaithepalle,Andhra Pradesh,16.01856,80.82873000000001
337,Arepalle,Andhra Pradesh,13.623660000000001,79.2808
85,Malepalle,Andhra Pradesh,15.993389,80.674773
360,Arimakulapalle,Andhra Pradesh,13.30732,79.33735
