patti_DensityBasedClustering4minfeature.OBJECTID,patti_DensityBasedClustering4minfeature.SOURCE_ID,cluster,patti_DensityBasedClustering4minfeature.PROB,patti_DensityBasedClustering4minfeature.OUTLIER,patti_DensityBasedClustering4minfeature.EXEMPLAR,patti_DensityBasedClustering4minfeature.STABILITY,patti_DensityBasedClustering4minfeature.COLOR_ID,patti.FID,Suffix,State,Placename,Lat,Long
1,0,2,1,0,1,0,5,0,patti,Andhra Pradesh,Patti,18.20881,83.07201
2,1,104,0.901801965,0.098198035,0,0,6,1,patti,Bihar,Agaropatti,26.41414,85.80653
3,2,128,1,0,1,0,2,2,patti,Bihar,Agwanpatti,26.25775,85.99688
4,3,145,0.608874684,0.391125316,0,0,3,3,patti,Bihar,Ahiapatti,26.10774,85.93303
5,4,86,1,0,1,0,8,4,patti,Bihar,Ahiman Patti,25.77111,85.04545
6,5,108,1,0,1,0,7,5,patti,Bihar,Alawal Patti,26.4133,84.27159
9,8,137,1,0,1,0,8,8,patti,Bihar,Andipatti,26.39779,86.07568
11,10,91,1,0,1,0,4,10,patti,Bihar,Arazi Sohila Rampur Patti,26.25663,85.51844
12,11,126,0.187760363,0.812239637,0,0,3,11,patti,Bihar,Asnahi Patti,26.01248,86.46744
13,12,77,1,0,1,0,7,12,patti,Bihar,Awdal Patti,25.91005,84.76363
14,13,105,1,0,1,0,4,13,patti,Bihar,Az Rakbe Damodarpatti,26.57472,85.81029
16,15,124,1,0,1,0,7,15,patti,Bihar,Bahtunia Urf Satan Patti,26.39669,86.85148
17,16,77,1,0,1,0,7,16,patti,Bihar,Bahuara Patti,25.91313,84.77116
19,18,158,1,0,1,0,5,18,patti,Bihar,Baija Patti,25.99813,87.09727
20,19,158,1,0,1,0,5,19,patti,Bihar,Baija Patti,25.99813,87.09727
21,20,103,1,0.368026405,0,0,3,20,patti,Bihar,Baji Urf Manoharpatti,25.95147,85.53663
22,21,152,0.47563849,0.52436151,0,0,1,21,patti,Bihar,Balampatti,26.49284,86.46868
24,23,125,1,0,1,0,1,23,patti,Bihar,Balhapatti,25.88662,86.54137
25,24,69,1,0,1,0,4,24,patti,Bihar,Baliapatti,26.18385,84.49271
26,25,115,1,0,1,0,3,25,patti,Bihar,Banaili Patti,26.53941,87.04983
27,26,88,0.237409533,0.762590467,0,0,7,26,patti,Bihar,Bandipatti,26.90154,84.46076
31,30,140,0.48298423,0.51701577,0,0,3,30,patti,Bihar,Barai Patti,26.56926,84.40786
32,31,140,0.48298423,0.51701577,0,0,3,31,patti,Bihar,Baraipatti,26.56926,84.40786
33,32,108,0.387745731,0.612254269,0,0,7,32,patti,Bihar,Baraipatti,26.33954,84.19811
34,33,144,0.750266923,0.249733077,0,0,1,33,patti,Bihar,Barhampatti,25.987,86.17518
36,35,66,0.798907721,0.201092279,0,0,6,35,patti,Bihar,Bariyarpatti,25.12623,83.92652
37,36,113,1,0,1,0,5,36,patti,Bihar,Barsamkhopatti,25.79781,86.6473
39,38,124,0.744782376,0.255217624,0,0,7,38,patti,Bihar,Basawanpatti,26.41179,86.89402
41,40,134,0.691693194,0.308306806,0,0,5,40,patti,Bihar,Basopatti,26.51324,86.0318
42,41,88,0.974591096,0.025408904,0,0,7,41,patti,Bihar,Basopatti,26.91159,84.41147
45,44,102,0.764549045,0.235450955,0,0,8,44,patti,Bihar,Bathanaha Jujharpatti,26.62215,85.58299
46,45,145,0.466851605,0.533148395,0,0,3,45,patti,Bihar,Bedipatti,26.09354,85.95061
47,46,103,1,0,1,0,3,46,patti,Bihar,Begham Patti,25.92768,85.4267
48,47,101,0.424547436,0.575452564,0,0,2,47,patti,Bihar,Bel Pakauna Urf Maheshpatti,26.26135,85.69017
49,48,150,0.497763198,0.502236802,0,0,8,48,patti,Bihar,Belapatti,26.17228,86.96161
50,49,140,1,0,1,0,3,49,patti,Bihar,Belwari Patti,26.61067,84.32258
51,50,150,0.461168673,0.538831327,0,0,8,50,patti,Bihar,Bengaipatti,26.23646,86.85764
53,52,99,0.174878153,0.825121847,0,0,2,52,patti,Bihar,Benipatti,25.8948,85.3114
55,54,149,1,0,1,0,8,54,patti,Bihar,Berai Patti,26.07496,85.93388
56,55,134,0.688368973,0.311631027,0,0,5,55,patti,Bihar,Bhaiapatti,26.51023,86.00805
58,57,108,1,0,1,0,7,57,patti,Bihar,Bhairo Patti,26.40983,84.2776
59,58,103,0.847251039,0.152748961,0,0,3,58,patti,Bihar,Bhairo Patti,25.93143,85.67023
61,60,129,0.7250308,0.2749692,0,0,3,60,patti,Bihar,Bhairopatti,25.89662,86.89465
62,61,82,1,0,1,0,2,61,patti,Bihar,Bhairopatti,25.67006,85.77316
65,64,128,0.386659157,0.613340843,0,0,2,64,patti,Bihar,Bhalpatti,26.18834,86.03817
68,67,91,0.828303686,0.171696314,0,0,4,67,patti,Bihar,Bharospatti Urf Bharathpatti,26.28428,85.50439
70,69,68,0.668074961,0.331925039,0,0,8,69,patti,Bihar,Bharthipatti,25.97897,84.30694
71,70,63,1,0,1,0,2,70,patti,Bihar,Bhim Patti,25.62799,84.50457
72,71,62,1,0,1,0,5,71,patti,Bihar,Bhimpatti,25.68517,84.3526
73,72,118,1,0,1,0,7,72,patti,Bihar,Bhojpatti,26.23207,85.87776
74,73,118,1,0,1,0,7,73,patti,Bihar,Bhojpatti,26.23207,85.87776
75,74,142,1,0,1,0,6,74,patti,Bihar,Bhojpatti,26.48131,86.34312
76,75,116,1,0,1,0,5,75,patti,Bihar,Bhojpatti Urf Bhedpatti,26.13326,85.01245
77,76,99,0.142313934,0.857686066,0,0,2,76,patti,Bihar,Bhojpatti Urf Bhedpatti,25.76341,85.29525
78,77,114,0.674203627,0.325796373,0,0,4,77,patti,Bihar,Bikrampatti,25.85633,85.9846
79,78,144,0.874993283,0.125006717,0,0,1,78,patti,Bihar,Bikupatti,26.11478,86.13505
80,79,91,1,0,1,0,4,79,patti,Bihar,Bisambharpatti,26.2336,85.51921
81,80,159,1,0,1,0,1,80,patti,Bihar,Bisaria Patti,26.0182,87.14602
82,81,117,0.696705865,0.303294135,0,0,1,81,patti,Bihar,Bisheshar Patti,26.06646,85.15287
83,82,101,1,0,1,0,2,82,patti,Bihar,Bishunathpatti,26.23484,85.73059
84,83,151,0.902905745,0.097094255,0,0,2,83,patti,Bihar,Bishunpatti,26.25029,86.36715
86,85,109,0.973938784,0.026061216,0,0,3,85,patti,Bihar,Bishunpur Patti,26.24202,84.9467
87,86,73,1,0,1,0,7,86,patti,Bihar,Bishunpur Patti,25.70165,87.14294
88,87,80,1,0,1,0,2,87,patti,Bihar,Bispatti,25.62107,86.90392
89,88,119,1,0,1,0,8,88,patti,Bihar,Chain Singh Patti,26.14693,86.6191
90,89,140,0.436330196,0.563669804,0,0,3,89,patti,Bihar,Chainpatti,26.47997,84.42204
91,90,116,1,0,1,0,5,90,patti,Bihar,Chak Bharath Patti,26.09517,85.00793
92,91,101,0.374846689,0.625153311,0,0,2,91,patti,Bihar,Chak Mohiuddin Urf Bishunpatti,26.2478,85.68108
94,93,144,0.916014291,0.083985709,0,0,1,93,patti,Bihar,Chamropatti,26.02982,86.19991
96,95,108,0.601420079,0.398579921,0,0,7,95,patti,Bihar,Chand Patti,26.38401,84.2333
97,96,117,1,0,1,0,1,96,patti,Bihar,Chand Patti,25.9596,85.03211
98,97,149,1,0,1,0,8,97,patti,Bihar,Chandanpatti,26.07913,85.93725
99,98,103,1,0,1,0,3,98,patti,Bihar,Chandanpatti,25.95483,85.58304
103,102,110,0.82841381,0.17158619,0,0,7,102,patti,Bihar,Chandopatti,25.86333,85.72842
105,104,102,0.878938849,0.121061151,0,0,8,104,patti,Bihar,Chandpatti,26.63186,85.70975
106,105,104,0.764057158,0.235942842,0,0,6,105,patti,Bihar,Chandpur Patti,26.45495,85.81601
107,106,116,0.988842963,0.011157037,0,0,5,106,patti,Bihar,Chaturpatti,26.05569,85.10338
110,109,143,1,0,1,0,7,109,patti,Bihar,Chharapatti,26.09618,86.32474
115,114,90,1,0,1,0,7,114,patti,Bihar,Chhattarpatti,26.24726,85.32921
116,115,128,1,0,1,0,2,115,patti,Bihar,Chhoataipatti,26.23346,86.00129
117,116,89,1,0,1,0,2,116,patti,Bihar,Churamanpatti,26.73385,84.52218
118,117,143,1,0,1,0,7,117,patti,Bihar,Dadpatti,26.13039,86.27214
119,118,152,1,0,1,0,1,118,patti,Bihar,Dahapatti,26.41074,86.45028
120,119,98,1,0,1,0,4,119,patti,Bihar,Damaipatti,25.65801,85.34383
121,120,90,1,0,1,0,7,120,patti,Bihar,Darhipatti,26.2385,85.37081
122,121,108,1,0,1,0,7,121,patti,Bihar,Darzi Patti,26.42488,84.2616
125,124,98,1,0,1,0,4,124,patti,Bihar,Daudnagar Motaluke Damaipatti,25.65979,85.30317
126,125,66,0.832710242,0.167289758,0,0,6,125,patti,Bihar,Dayal Patti,25.22153,83.83876
127,126,147,0.752115867,0.247884133,0,0,6,126,patti,Bihar,Debipatti,26.17027,86.78374
128,127,129,1,0,1,0,3,127,patti,Bihar,Deenapatti,25.88314,86.93974
131,130,102,1,0,1,0,8,130,patti,Bihar,Deonathpatti,26.59325,85.66501
132,131,134,0.669342291,0.330657709,0,0,5,131,patti,Bihar,Dhamia Patti,26.61265,86.08747
133,132,124,1,0,1,0,7,132,patti,Bihar,Dhansipatti,26.39377,86.8353
136,135,133,1,0,1,0,6,135,patti,Bihar,Dharnipatti,26.11641,85.85675
137,136,133,1,0,1,0,6,136,patti,Bihar,Dharnipatti,26.11641,85.85675
139,138,91,1,0,1,0,4,138,patti,Bihar,Dharopatti,26.26048,85.55374
140,139,148,0.564682549,0.435317451,0,0,5,139,patti,Bihar,Dhiropatti,26.0585,85.94511
141,140,59,1,0,1,0,1,140,patti,Bihar,Dhobaha Pachhim Patti,25.11736,83.37958
142,141,59,1,0,1,0,1,141,patti,Bihar,Dhobaha Purab Patti,25.11462,83.38564
