Cluster,Placename,State,Lat,Long
4,Rapur,Andhra Pradesh,14.28175585,79.53089329
252,Bijapur,Odisha,18.56577,82.74035
2,Ipur,Andhra Pradesh,16.18283,80.79822
35,Haripur,Arunachal Pradesh,27.536590000000004,96.11506999999999
38,Dharampur,Arunachal Pradesh,27.63601,95.84597
39,1 No. Bishnupur,Assam,27.875040000000002,95.75511
36,1 No.Santipur,Assam,27.543809999999997,95.44561
335,Bishnupur,Assam,26.1652,91.74038
128,Abhoypur,Assam,27.435640000000003,94.30738000000001
332,No.2 Sarudam Pur,Assam,26.235190000000003,91.5356
320,Aditpur,Assam,26.35775,90.87617
65,Ahmedpur,Assam,24.58351,92.45597
102,Alakulipur,Assam,24.87381,92.58155
88,Chandanpur,Assam,24.86196,92.32778
135,Alaripur,Assam,26.743759999999998,93.16235999999999
93,Algapur,Assam,24.83863,92.83155
321,Ali Pur,Assam,26.28632,90.98876
173,Alipur,Assam,26.21097,93.05209
138,Amarpur,Assam,27.776809999999998,95.1632
40,Amarpur,Assam,27.86317,95.64448
304,Amayapur,Assam,26.63237,91.57458000000001
148,Amritpur,Assam,27.585390000000004,94.72627
149,Amritpur,Assam,27.81213,95.23883000000001
328,Ananda Pur,Assam,26.48197,91.01064000000001
143,Anandapur,Assam,26.12225,93.84215
338,Anandapur,Assam,26.44838,89.98858
331,Bhogpur,Assam,26.52461,91.34955
123,Anandapur,Assam,26.866490000000002,93.42659
126,Anandapur,Assam,26.951240000000002,93.59305
134,Anantapur,Assam,26.2935,94.07851
160,Annapur,Assam,27.828090000000003,95.22564
66,Anwarpur,Assam,24.9637,92.75833
45,Aradhanpur,Assam,24.53908,92.83253
79,Bhagabanpur,Assam,24.43789,92.5473
142,Badalpur,Assam,27.8081,95.19874
307,Kalyanpur,Assam,26.15726,90.54945
94,Bahadurpur,Assam,24.7542,92.36723
318,Bairapur,Assam,26.484309999999997,90.82863
324,Hudumpur,Assam,26.1208,91.53996
322,Balipur,Assam,26.64715,91.28663
169,Bandhipur,Assam,25.84703,93.42487
81,Bangalpur,Assam,24.54136,92.59508000000001
329,Niz Bhabanipur,Assam,26.436,90.97883
352,Bar Bistupur,Assam,26.45778,91.45575
313,Barampur,Assam,26.436,92.0262
87,Barkatpur,Assam,24.85325,92.38163
121,Barkhapur,Assam,26.859579999999998,92.78220999999999
305,Basantapur,Assam,26.083779999999997,90.81253000000001
303,No.2 Surjyapur,Assam,26.71032,92.47599
340,Lokhipur,Assam,26.19764,90.13136999999999
306,Bilashpur,Assam,26.515959999999996,90.50945
314,Jamalpur,Assam,26.60115,92.19091999999999
308,Bhairabpur,Assam,26.35412,90.52419
315,Bhairabpur,Assam,26.74475,92.09442
78,Bharampur,Assam,24.73405,92.88161
97,Bichitrapur,Assam,24.97271,92.5563
156,Bidyapur,Assam,26.075860000000002,93.96491999999999
351,Bihampur,Assam,26.451490000000003,91.41635
136,Bijoy Pur,Assam,26.694640000000003,93.16291
140,Bijoypur,Assam,27.7676,95.02095
125,Bijoypur,Assam,26.409940000000002,94.04738
262,Bikrampur,Assam,26.729879999999998,90.5429
