hill_DensityBasedClustering4minfeature.OBJECTID,hill_DensityBasedClustering4minfeature.SOURCE_ID,cluster,hill_DensityBasedClustering4minfeature.PROB,hill_DensityBasedClustering4minfeature.OUTLIER,hill_DensityBasedClustering4minfeature.EXEMPLAR,hill_DensityBasedClustering4minfeature.STABILITY,hill_DensityBasedClustering4minfeature.COLOR_ID,hill.FID,Suffix,Placename,State,Lat,Long
1,0,115,0.941260493,0.058739507,0,0.012134386,2,0,hill,Adkin Hill,AL,32.6090206,-86.3110828
2,1,100,1,0,1,9.26E-06,1,1,hill,Bald Hill,AL,31.1637872,-85.6354893
3,2,199,0.561826817,0.438173183,0,0.014102096,4,2,hill,Battery Hill,AL,34.9528584,-85.7083041
4,3,139,0.434727147,0.565272853,0,0.019347519,5,3,hill,Billy Goat Hill,AL,34.1942618,-85.6949648
5,4,115,0.668679313,0.331320687,0,0.012134386,2,4,hill,Briar Hill,AL,31.9590403,-86.1299589
6,5,206,0.914993537,0.085006463,0,0.008871435,4,5,hill,Brides Hill,AL,34.6703683,-87.2441854
7,6,116,1,0,1,0.006477353,4,6,hill,Camp Hill,AL,32.8004059,-85.6535659
8,7,216,1,0,1,0.093004477,8,7,hill,Cavalry Hill,AL,34.7406465,-86.6111046
11,10,185,1,0,1,0.000388749,1,10,hill,Center Hill,AL,34.0895427,-86.7247189
12,11,211,1,0,1,0.003482221,3,11,hill,Center Hill,AL,34.9556392,-87.4483558
13,12,95,0.438384878,0.561615122,0,0.033470933,2,12,hill,Chapel Hill,AL,31.693493,-88.4403006
14,13,96,0.692994005,0.307005995,0,0.009089188,1,13,hill,Chapel Hill,AL,32.2398647,-88.1886341
15,14,150,1,0,1,0.044358554,7,14,hill,Chapel Hill,AL,33.3987202,-86.7977667
16,15,162,0.730806005,0.269193995,0,0.018302343,6,15,hill,Chapel Hill,AL,33.817329,-87.2102814
17,16,64,1,0,1,0.097568937,7,16,hill,Cottage Hill,AL,30.6501911,-88.1461126
18,17,150,0.802663472,0.197336528,0,0.044358554,7,17,hill,Cottage Hill,AL,33.4820519,-86.978327
19,18,216,0.388963722,0.611036278,0,0.093004477,8,18,hill,Dug Hill,AL,34.7134241,-86.4877669
20,19,216,1,0,1,0.093004477,8,19,hill,Echols Hill,AL,34.7314799,-86.57527
21,20,150,0.988858411,0.011141589,0,0.044358554,7,20,hill,Flint Hill,AL,33.3551117,-87.0063823
22,21,64,1,0,1,0.097568937,7,21,hill,Forest Hill,AL,30.7149115,-88.1533355
23,22,116,0.921330483,0.078669517,0,0.006477353,4,22,hill,Gold Hill,AL,32.7217975,-85.5077283
25,24,211,1,0,1,0.003482221,3,24,hill,Green Hill,AL,34.9731387,-87.5122461
28,27,149,1,0,1,0.028649281,3,27,hill,Indian Hill,AL,33.2976123,-86.3527553
31,30,150,1,0,1,0.044358554,7,30,hill,New Hill,AL,33.4184425,-86.9219363
32,31,150,1,0,1,0.044358554,7,31,hill,Pauls Hill,AL,33.4123316,-86.9297143
33,32,63,1,0,1,0.003681951,3,32,hill,Pleasant Hill,AL,31.0632351,-87.4910937
34,33,103,1,0,1,0.000557046,6,33,hill,Pleasant Hill,AL,31.7448867,-85.2335453
35,34,150,0.952695457,0.047304543,0,0.044358554,7,34,hill,Pleasant Hill,AL,33.3309457,-86.9961041
38,37,115,0.589388977,0.410611023,0,0.012134386,2,37,hill,Sanders Hill,AL,31.7054363,-86.0363403
39,38,64,0.156363889,0.843636111,0,0.097568937,7,38,hill,Silverhill,AL,30.5454715,-87.7516559
40,39,150,0.746670365,0.253329635,0,0.044358554,7,39,hill,Smith Hill,AL,33.1223412,-87.1019393
41,40,63,0.783901476,0.216098524,0,0.003681951,3,40,hill,Spring Hill,AL,31.1079556,-87.0352463
42,41,95,1,0,1,0.033470933,2,41,hill,Spring Hill,AL,31.947096,-88.1372369
43,42,185,1,0,1,0.000388749,1,42,hill,Spring Hill,AL,34.1945441,-86.9563942
44,43,116,0.822262064,0.177737936,0,0.006477353,4,43,hill,Union Hill,AL,33.0029009,-85.5227303
45,44,185,0.986807676,0.013192324,0,0.000388749,1,44,hill,Union Hill,AL,34.4737035,-86.6219379
46,45,211,1,0,1,0.003482221,3,45,hill,Upper Green Hill,AL,34.984805,-87.5066904
47,46,115,0.765760868,0.234239132,0,0.012134386,2,46,hill,Washington Hill,AL,32.4081926,-86.4677519
48,47,64,1,0,1,0.097568937,7,47,hill,West Hill,AL,30.69019,-88.1808362
49,48,206,1,0,1,0.008871435,4,48,hill,Furnace Hill,AL,34.7556445,-87.7055855
51,50,100,1,0,1,9.26E-06,1,50,hill,Pleasant Hill,AL,31.429336,-85.6743816
52,51,63,1,0,1,0.003681951,3,51,hill,Raley Forest Hill,AL,31.0112926,-87.5110934
53,52,63,1,0,1,0.003681951,3,52,hill,Montgomery Hill,AL,31.1640641,-87.7863827
55,54,139,0.568463426,0.431536574,0,0.019347519,5,54,hill,Kings Hill,AL,34.1339853,-85.8188567
56,55,115,1,0,1,0.012134386,2,55,hill,Blueberry Hill,AL,32.5245787,-86.2041346
57,56,115,1,0,1,0.012134386,2,56,hill,Jasmine Hill,AL,32.495413,-86.1883004
58,57,115,1,0,1,0.012134386,2,57,hill,Rose Hill,AL,32.4876351,-86.3630276
59,58,116,1,0,1,0.006477353,4,58,hill,Church Hill,AL,32.6484656,-85.7480119
60,59,116,0.812381672,0.187618328,0,0.006477353,4,59,hill,Flint Hill,AL,32.9265127,-85.9091296
61,60,96,1,0,1,0.009089188,1,60,hill,Baptist Hill,AL,32.5159694,-87.8314018
62,61,116,1,0,1,0.006477353,4,61,hill,Sand Hill,AL,32.541803,-85.5007827
64,63,107,0.786619021,0.213380979,0,0.025710467,5,63,hill,Carriage Hill,AL,32.5020859,-85.0240998
66,65,115,0.668679313,0.331320687,0,0.012134386,2,65,hill,Pleasant Hill,AL,31.8590447,-85.9463399
67,66,95,1,0,1,0.033470933,2,66,hill,Chappell Hill,AL,31.891819,-88.2555724
68,67,139,0.673594083,0.326405917,0,0.019347519,5,67,hill,Oak Hill,AL,34.1117633,-85.8605244
69,68,139,0.435519564,0.564480436,0,0.019347519,5,68,hill,Peeks Hill,AL,33.8456548,-85.9533028
71,70,206,1,0,1,0.008871435,4,70,hill,Oak Hill,AL,34.8784194,-87.675861
72,71,162,0.856054951,0.143945049,0,0.018302343,6,71,hill,Deason Hill,AL,33.7478855,-87.2250021
73,72,162,0.849706176,0.150293824,0,0.018302343,6,72,hill,Key Hill,AL,33.7188889,-87.4227778
74,73,162,1,0,1,0.018302343,6,73,hill,Oak Hill,AL,33.8592739,-87.2880619
75,74,115,1,0,1,0.012134386,2,74,hill,Gibson Hill,AL,32.2368094,-86.1863525
76,75,115,1,0,1,0.012134386,2,75,hill,Grove Hill,AL,32.3595832,-86.2680235
77,76,115,1,0,1,0.012134386,2,76,hill,King Hill,AL,32.3904157,-86.2799686
78,77,149,1,0,1,0.028649281,3,77,hill,Center Hill,AL,33.2356699,-86.3194205
79,78,149,1,0,1,0.028649281,3,78,hill,Pleasant Hill,AL,33.2395586,-86.2833084
80,79,149,1,0,1,0.028649281,3,79,hill,Thomas Hill,AL,33.1840046,-86.2774747
