Cluster,Placename,State,Lat,Long
115,Briar Hill,AL,31.959040299999998,-86.1299589
100,Pleasant Hill,AL,31.429336,-85.6743816
199,Red Hill,TN,35.224795799999995,-85.5091323
139,Oak Hill,AL,34.1117633,-85.8605244
206,Lennon Hill,AL,34.7395331,-87.4161344
116,Camp Hill,AL,32.8004059,-85.6535659
216,Cavalry Hill,AL,34.740646500000004,-86.61110459999999
185,Pine Hill,AL,34.218432,-86.8952813
211,Upper Green Hill,AL,34.984805,-87.50669040000001
95,Chappell Hill,AL,31.891819,-88.2555724
96,Dug Hill,AL,32.5048596,-88.0297413
150,Pauls Hill,AL,33.4123316,-86.92971429999999
162,Rosehill,AL,33.981217,-87.3869563
64,Spring Hill,AL,30.698523100000003,-88.1388905
149,Pleasant Hill,AL,33.2395586,-86.28330840000001
63,Raley Forest Hill,AL,31.011292600000004,-87.51109340000001
103,Pleasant Hill,AL,31.7448867,-85.2335453
107,Pine Hill,GA,32.4279219,-84.9357637
217,Cedar Hill,AL,34.9770297,-86.82000190000001
108,Snow Hill,AL,32.0045909,-87.0072065
109,Pine Hill,AL,31.979594300000002,-87.5880561
41,Pleasant Hill,AR,35.385079499999996,-92.5871047
31,Burnt Hill,AR,35.878129,-90.5153849
44,Snow Hill,AR,33.387899600000004,-92.65404649999999
56,Cedar Hill,AR,34.2631652,-94.06686409999999
40,Pleasant Hill,AR,36.3756303,-94.11409240000002
4,Government Hill,AZ,33.6744926,-111.1501233
16,Rocky Hill,CA,38.1454755,-120.4671442
12,Pleasant Hill,CA,37.9479786,-122.06079629999999
10,Pine Hill,CA,40.7645713,-124.17450520000001
17,Spring Hill,CA,39.2323941,-121.0441157
18,Galena Hill,CA,39.4735027,-121.05551070000001
5,Signal Hill,CA,33.8044614,-118.1678456
6,Park Hill,CA,35.563860299999995,-121.10491470000001
2,Spring Hill,CO,39.6352778,-105.1502778
195,West Side Hill,CT,41.5539857,-73.06121920000001
194,Toilsome Hill,CT,41.2020409,-73.22261379999999
132,Spring Hill,CT,41.787042799999995,-72.2239671
198,Palmers Hill,CT,41.063708,-73.56595759999999
196,Elm Hill,CT,41.6745441,-72.74481829999999
231,Tulip Hill,MD,38.9673326,-77.13359
161,Flea Hill,DE,38.662336100000005,-75.435753
224,Hickory Hill,DE,39.7801114,-75.6927107
21,Snow Hill,FL,28.7033287,-81.1145063
23,Eleven Mile Hill,FL,27.9819,-82.2921
30,Murray Hill,FL,30.319405800000002,-81.71620909999999
101,Rocky Hill,GA,30.7026955,-84.2101772
22,Center Hill,FL,28.0095,-82.4573
182,Center Hill,GA,33.7748286,-84.4718745
99,Lakeside Hill,GA,32.8534717,-83.576289
92,Rose Hill,GA,31.9896562,-81.11122270000001
104,Garden Hill,GA,31.5354529,-84.1304625
73,Green Hill,GA,32.7096127,-81.59288640000001
105,New Rock Hill,GA,31.001301,-83.5743311
173,Union Hill,GA,34.502322899999996,-83.2832162
175,Pleasant Hill,GA,34.9453598,-84.27297420000001
123,Poverty Hill,SC,33.5631902,-82.0115053
172,Windy Hill,GA,33.9376155,-83.43210440000001
181,Mitchell Hill,GA,34.0673217,-84.671324
179,Pine Top Hill,GA,33.6356701,-83.83768149999999
20,Spring Hill,IL,41.6125318,-90.0451166
26,Sand Hill,MO,40.3114263,-92.1279583
1,Truchot Hill,MT,47.8363424,-112.19224229999999
60,Taylor Hill,IL,38.1122711,-88.7958955
38,The Hill,MO,38.61555560000001,-90.2780556
55,Shiloh Hill,IL,37.925329,-89.62121009999998
29,Royce Hill,IL,41.718888899999996,-88.1105556
34,Summer Hill,IL,39.546436,-90.91929870000001
67,Temple Hill,IL,37.3072755,-88.63032740000001
66,Daisy Hill,IN,38.5061716,-85.93941600000001
47,Shooters Hill,IN,39.8300419,-86.1822104
25,Spring Hill,IN,39.4125379,-87.37724159999999
158,Melody Hill,IN,38.0261534,-87.51584790000001
48,Patton Hill,IN,38.9006055,-86.53805030000001
19,Oak Hill,KS,39.2483279,-97.3414139
28,Chapel Hill,MO,38.917508399999996,-94.0582782
87,Blueberry Hill,KY,37.98174470000001,-84.522439
88,Olive Hill,KY,38.3000809,-83.1740654
65,Murray Hill,KY,38.290347600000004,-85.5882941
84,Lawhorn Hill,KY,37.3000746,-84.85383909999999
176,Fruit Hill,KY,37.004765500000005,-87.3683345
188,Greenhill,KY,36.908098200000005,-86.31582220000001
82,Sand Hill,KY,38.663963,-83.6257503
