town_DensityBasedClustering4minfeature.OBJECTID,town_DensityBasedClustering4minfeature.SOURCE_ID,cluster,town_DensityBasedClustering4minfeature.PROB,town_DensityBasedClustering4minfeature.OUTLIER,town_DensityBasedClustering4minfeature.EXEMPLAR,town_DensityBasedClustering4minfeature.STABILITY,town_DensityBasedClustering4minfeature.COLOR_ID,town.FID,Suffix,Placename,State,Lat,Long
4,3,177,1,0,1,0,1,3,town,Broomtown,AL,34.3606453,-85.5216276
5,4,50,1,0,1,0.000420663,1,4,town,Brownstown,AL,32.6020793,-87.9311267
6,5,180,0.671525738,0.328474262,0,0.021745241,3,5,town,Browntown,AL,34.6028626,-85.8305284
8,7,127,0.388082846,0.611917154,0,0.083446198,7,7,town,Dovertown,AL,33.7378845,-87.1536118
10,9,127,1,0,1,0.083446198,7,9,town,Fieldstown,AL,33.6420484,-86.8558264
11,10,61,1,0,1,0.05128902,5,10,town,Georgetown,AL,30.8885182,-88.2702846
12,11,57,1,0,1,0.014169684,8,11,town,Georgetown,AL,31.2965591,-87.735549
13,12,57,0.684036313,0.315963687,0,0.014169684,8,12,town,Gilbertown,AL,31.8770975,-88.3214089
15,14,155,0.970821445,0.029178555,0,0.087325263,5,14,town,Houstontown,AL,34.8273088,-87.4350232
16,15,177,1,0,1,0,1,15,town,Jamestown,AL,34.3978666,-85.5774627
17,16,155,1,0,1,0.087325263,5,16,town,Kingtown,AL,34.9053627,-87.3830768
18,17,128,1,0,1,0.337006028,2,17,town,Lowerytown,AL,33.1120638,-87.1516628
19,18,127,0.319000029,0.680999971,0,0.083446198,7,18,town,Lowetown,AL,33.3087247,-87.0752724
21,20,180,0.700666005,0.299333995,0,0.021745241,3,20,town,Martintown,AL,34.7436938,-85.9205331
22,21,127,0.444494329,0.555505671,0,0.083446198,7,21,town,Maytown,AL,33.53594,-86.997217
25,24,50,1,0,1,0.000420663,1,24,town,Moore Town,AL,32.5509698,-88.1069665
26,25,180,0.700666005,0.299333995,0,0.021745241,3,25,town,New Town,AL,34.8734153,-85.8174748
30,29,127,0.388082846,0.611917154,0,0.083446198,7,29,town,Quintown,AL,33.6364957,-87.0916648
33,32,156,0.859789938,0.140210062,0,0.023910111,1,32,town,Reedtown,AL,34.4967617,-87.7416992
34,33,61,1,0,1,0.05128902,5,33,town,Smithtown,AL,30.8610187,-88.2086155
37,36,155,1,0,1,0.087325263,5,36,town,Thorntontown,AL,34.8395309,-87.3555766
38,37,57,1,0,1,0.014169684,8,37,town,Toddtown,AL,31.6187713,-87.8766673
39,38,127,0.388082846,0.611917154,0,0.083446198,7,38,town,Twilley Town,AL,33.6626065,-87.0869428
41,40,127,0.340955817,0.659044183,0,0.083446198,7,40,town,Williamstown,AL,33.7034423,-87.3019472
44,43,156,1,0,1,0.023910111,1,43,town,Churntown,AL,34.4028739,-87.6653065
47,46,66,1,0,1,0.010279757,5,46,town,Hornsbytown,AL,32.55069,-85.9169041
49,48,128,0.215795078,0.784204922,0,0.337006028,2,48,town,Eddings Town,AL,33.1384515,-86.9791586
50,49,155,1,0,1,0.087325263,5,49,town,Slabtown,AL,34.9803608,-87.4347442
51,50,66,1,0,1,0.010279757,5,50,town,Georgetown,AL,32.3390285,-86.2160771
52,51,66,1,0,1,0.010279757,5,51,town,Johnstown,AL,32.4015266,-86.2444121
53,52,66,1,0,1,0.010279757,5,52,town,New Town,AL,32.3973599,-86.2980248
54,53,61,1,0,1,0.05128902,5,53,town,Boothetown,AL,30.9512952,-88.3394548
55,54,61,1,0,1,0.05128902,5,54,town,Millertown,AL,30.8210198,-88.2583393
56,55,127,1,0,1,0.083446198,7,55,town,Dogtown,AL,33.6139936,-86.8838822
57,56,127,0.365844518,0.634155482,0,0.083446198,7,56,town,Hoagtown,AL,33.5098296,-87.0277728
58,57,126,0.928762554,0.071237446,0,0.004353677,6,57,town,Binghamtown,AL,33.5801041,-86.1869192
60,59,126,1,0,1,0.004353677,6,59,town,Tucktown,AL,33.463163,-86.1569176
62,61,128,0.176415019,0.823584981,0,0.337006028,2,61,town,Sawmill Town,AL,33.1759503,-86.9616583
63,62,66,0.790978384,0.209021616,0,0.010279757,5,62,town,Browntown,AL,32.6112429,-86.5910903
65,64,50,1,0,1,0.000420663,1,64,town,Freetown,AL,32.3881933,-87.5111126
67,66,128,0.753683037,0.246316963,0,0.337006028,2,66,town,Italian Town,AL,33.1184524,-87.0999948
