Cluster,Placename,State,Lat,Long
177,Dogtown,AL,34.3528685,-85.7369113
50,Brownstown,AL,32.6020793,-87.9311267
180,Smithtown,TN,35.081191499999996,-85.7349718
127,Quintown,AL,33.636495700000005,-87.09166479999999
61,Boothetown,AL,30.9512952,-88.3394548
57,Toddtown,AL,31.6187713,-87.8766673
155,Kingtown,AL,34.905362700000005,-87.3830768
128,Richtown,AL,33.1134526,-87.1347179
156,Trapptown,AL,34.3714856,-87.61836009999999
66,Johnstown,AL,32.4015266,-86.24441209999999
126,Richeytown,AL,33.5667715,-85.9666347
152,Aymett Town,TN,35.176191499999995,-86.9597279
67,Jamestown,AR,35.6967446,-91.70458470000001
68,Jamestown,AR,35.4420283,-93.46268429999999
70,Jamestown,TN,35.5511922,-89.86230649999999
55,Billstown,AR,33.9809419,-93.5710137
72,Jonestown,MS,34.3195524,-90.4556535
69,New Town,AR,35.4195331,-94.2052083
56,Stringtown,AR,33.936504799999994,-94.24409
4,Hightown,AZ,33.3044931,-111.90930790000002
5,Belltown,CA,34.011681,-117.38337890000001
20,Chinatown,CA,37.7999279,-122.27024709999999
22,Frenchtown,CA,38.641293700000006,-120.91132809999999
14,Upper Town,CA,38.354361499999996,-119.1179265
23,Helltown,CA,39.81155029999999,-121.65969720000001
21,Jamestown,CA,37.953258399999996,-120.4226952
18,Newtown,CA,40.6570945,-122.39639840000002
2,Balltown,CO,39.0777705,-106.28113379999999
204,Dodgingtown,CT,41.379262100000005,-73.3562301
133,Firetown,CT,41.9050972,-72.8228755
81,Norwichtown,CT,41.5531539,-72.1053552
207,Cokertown,NY,42.0192582,-73.82124240000002
237,Cowtown,DC,38.9251113,-77.0260878
206,Jimtown,DE,38.7320566,-75.18657420000001
235,Ogletown,DE,39.6781675,-75.6974319
261,Westtown,PA,39.930943,-75.5518722
54,Cheevertown,GA,31.1907219,-84.5178545
40,Heijahs Town,FL,29.3669167,-82.26648759999999
53,Allentown,FL,30.762688899999997,-87.04218829999999
35,Tommytown,FL,28.376113099999998,-82.2036959
39,Suwanee Old Town,FL,29.6169011,-82.9665146
25,Trailtown,FL,25.855932,-81.0231256
42,Browntown,GA,31.3374456,-81.7817783
63,Norristown,GA,32.5068347,-82.49429649999999
73,Oconee Old Town,GA,33.0045915,-83.1562625
107,Cohentown,GA,33.7940148,-82.7184739
167,Stewardtown,TN,35.0236908,-84.3599225
122,Jamestown,GA,33.5284503,-83.81795890000001
153,Briertown,NC,35.262314200000006,-83.612388
52,Blufftown,GA,32.194318800000005,-84.94965040000001
163,Dewberry Town,GA,34.9459091,-85.2735671
144,Slabtown,GA,33.7503842,-84.38325999999999
108,Burnettown,SC,33.5154148,-81.8490012
43,Boydtown,WI,43.1105396,-90.80373809999999
9,Indiantown,IA,41.3124905,-95.1080478
32,Martinstown,MO,40.410579799999994,-92.77047590000001
45,Georgetown,IL,42.139745399999995,-89.8287305
10,Milltown,ID,47.324077100000004,-116.5432229
1,Beartown,WY,41.156613899999996,-110.84795390000001
104,Bucktown,IL,40.1133695,-87.74474670000001
51,Lewistown,IL,40.3930973,-90.1548421
80,Stolletown,IL,38.693381200000005,-89.446748
93,Old Shawneetown,IL,37.6969906,-88.1367006
91,Spillertown,IL,37.7664385,-88.91951379999999
33,Swede Town,IL,41.892810600000004,-87.6397753
84,Dutchtown,MO,38.580999999999996,-90.2443
94,Watertown,IL,38.7217146,-88.1200387
161,Stavetown,IN,39.4108844,-85.00995959999999
103,Terre Town,IN,39.517536799999995,-87.3752973
79,Crumstown,IN,41.624212899999996,-86.408068
147,New Elizabethtown,IN,38.917275700000005,-85.986924
101,Bucktown,IN,38.9947665,-87.2600148
90,Scuffletown,KY,37.9228222,-87.3722293
140,Griffytown,KY,38.2536821,-85.545238
136,Stringtown,IN,40.081707200000004,-86.4766681
146,Middletown,IN,39.4600489,-85.6488649
141,Hogtown,IN,38.35839489999999,-86.3177575
114,Jonestown,OH,40.77143710000001,-84.5141216
74,Billingstown,OH,41.6931055,-84.7955127
165,Stringtown,KY,39.0811706,-84.6460566
31,Rousertown,MO,37.7030972,-94.23494559999999
175,Gandertown,KY,37.6831178,-85.389961
185,Georgetown,TN,36.5269925,-87.2958403
194,Cadentown,KY,38.012300200000006,-84.4266027
160,Turkeytown,KY,37.420637799999994,-84.4868825
168,Farristown,KY,37.6225818,-84.3002108
182,Stringtown,KY,37.155770000000004,-86.785
189,Bushtown,KY,37.730634,-84.72911309999999
89,Dogtown,KY,36.837833399999994,-88.3233695
193,Hunter Town,KY,38.0350765,-84.6996675
191,Cranetown,KY,38.277296,-84.5307752
158,Hollowtown,OH,39.11173170000001,-83.7815922
135,Millerstown,KY,37.445333500000004,-86.050802
120,Slabtown,WV,37.62899779999999,-81.86984029999999
171,Shaver Town,TN,36.172277799999996,-86.0388778
131,Jamestown,TN,36.427569899999995,-84.93189190000001
149,Atkinstown,KY,37.383142799999995,-83.9627046
188,Fraleytown,VA,36.7045393,-82.8226622
58,Dutch Town,LA,30.254362199999996,-90.98871190000001
34,Cooktown,LA,32.5509826,-92.6570942
59,Walkertown,LA,29.8902059,-90.11368440000001
150,South Williamstown,MA,42.660636600000004,-73.2414956
86,East Watertown,MA,42.3695412,-71.16199820000001
87,Thomastown,MA,41.875380299999996,-70.8400391
85,Georgetown,MA,42.725091799999994,-70.99116590000001
88,Edgartown,MA,41.3890052,-70.5133599
259,Frostown,MD,39.4831562,-77.5894335
244,Germantown,MD,39.173162100000006,-77.2716502
213,Morantown,MD,39.6786976,-78.8908557
230,Old Town,MD,39.1420548,-76.1060585
162,Milestown,MD,38.287350700000005,-76.7735786
275,Littlestown,PA,39.744544,-77.0880385
195,Libertytown,MD,38.319005,-75.2985254
221,Franklintown,MD,39.304550899999995,-76.71163790000001
199,Daugherty Town,MD,37.986790899999995,-75.8510433
231,Newtown,MD,38.9056693,-76.0477198
225,Cardtown,MD,38.5373408,-76.0229939
198,Savage Town,VA,37.552078200000004,-75.8013189
29,Georgetown,ME,44.6353544,-67.8258338
65,Marrtown,ME,43.7945277,-69.7814345
24,Stewartstown,NH,45.006157200000004,-71.5078617
8,Taffeltown,MI,44.540563899999995,-85.1750499
13,Hurontown,MI,47.1102051,-88.5740122
27,Shiawasseetown,MI,42.929474400000004,-84.07940959999999
6,Sheldon Trailor Town,SD,44.2688579,-96.8161655
28,Warrentown,WI,44.5758007,-92.35851640000001
30,Babbtown,MO,38.3389265,-92.13850959999999
83,Uniontown,MO,37.6147734,-89.71399
71,Kelly Town,MO,36.7506107,-90.40261070000001
77,French Town,MO,37.9550505,-90.67457320000001
121,Jumpertown,MS,34.7109278,-88.6639432
62,Barrontown,MS,31.375450800000003,-89.2175593
47,Swiftown,MS,33.305678,-90.4250872
60,Shankstown,MS,31.814606400000002,-91.02927170000001
48,Usrytown,MS,32.3865322,-89.3811767
49,Milltown,MS,32.6404152,-90.0250843
15,Stump Town,MT,46.1507592,-113.0408794
16,Lewistown,MT,47.0624732,-109.428238
100,Teaguetown,NC,36.02902589999999,-80.09782120000001
98,Sheltontown,NC,36.4934685,-80.556173
105,Poor Town,NC,36.2804334,-77.0252375
106,Pricetown,NC,35.1709972,-77.8966494
75,Midtown,NC,35.1579359,-79.4130884
99,Sugartown,NC,36.1501369,-80.620062
142,Jacktown,NC,35.6679027,-81.9678838
110,Sivey Town,NC,33.967394399999996,-78.30638929999999
95,Parktown,NC,36.313204,-78.1416584
102,Newtown,VA,36.8248703,-76.30355209999999
154,Tolley Town,TN,36.190667100000006,-82.21790859999999
130,Pumpkintown,SC,35.00289620000001,-82.6529075
164,Owltown,NC,35.6001074,-82.7237432
92,North Charlestown,NH,43.3084078,-72.3870333
220,Abertown,NJ,41.2509283,-74.7846107
258,Juliustown,NJ,40.0134461,-74.6687694
281,Frenchtown,NJ,40.5262138,-75.06156
243,Springtown,NJ,40.792599700000004,-74.7923872
241,Bonhamtown,NJ,40.5234379,-74.357649
229,Lummistown,NJ,39.3509479,-75.1790744
255,Crowleytown,NJ,39.628451,-74.6176563
262,Woodstown,NJ,39.6515027,-75.3282454
256,Nugentown,NJ,39.6115073,-74.3554233
240,Hilltown,NJ,40.9212098,-74.5507134
282,Pittstown,NJ,40.5820466,-74.9590577
257,Bridgetown,PA,40.1884424,-74.9307222
3,Martinez Town,NM,35.0892131,-106.64196979999998
7,Upper Town,NV,38.521044399999994,-116.3633916
19,Sundown Town,NV,39.3365767,-119.82796509999999
137,Allentown,NY,42.0836783,-78.06445079999999
64,West Beekmantown,NY,44.7711518,-73.554582
116,Taylortown,NY,42.763962400000004,-74.9815447
205,Searingtown,NY,40.774823100000006,-73.6556848
115,Dibbletown,NY,43.280347,-75.71018470000001
211,Finktown,NY,41.2922222,-73.9055556
219,Mechanicstown,NY,41.442871600000004,-74.38848840000001
176,Rosstown,NY,42.0242408,-76.8410689
218,Jenkinstown,NY,41.6970378,-74.1015324
96,Freetown,NY,40.9756558,-72.1823009
197,Darbytown,PA,41.610921999999995,-75.06933599999999
151,Raymertown,NY,42.8139666,-73.5345594
148,Williamstown,WV,39.4006299,-81.4481766
119,Rushtown,OH,38.832852200000005,-83.0198979
183,Stringtown,OH,39.8181118,-84.312167
124,Houcktown,OH,40.935331700000006,-83.59409649999999
196,Old Town,OH,40.4425658,-81.46317109999998
138,Pagetown,OH,40.3572837,-82.81823299999999
123,Thomsontown,OH,41.211721000000004,-82.8793545
200,Yellowtown,OH,39.701457700000006,-82.06819780000001
224,Newtown,OH,40.203402600000004,-80.908147
143,Stringtown,OH,39.5033963,-82.7740603
226,West Austintown,OH,41.099780100000004,-80.7931366
214,Logtown,OH,41.025612200000005,-81.39316600000001
184,Middletown,OH,39.5150576,-84.39827629999999
201,Welshtown,OH,39.027578399999996,-81.9956949
227,Rowtown,PA,40.7581193,-80.4695107
125,Brownstown,WV,38.4189717,-82.454321
44,Horntown,OK,35.0870329,-96.2477843
270,Weavertown,PA,40.0387101,-76.157732
276,Andersontown,PA,40.1523141,-76.9316412
247,Lardintown,PA,40.7050655,-79.8125523
242,Cherrytown,PA,40.2939662,-78.2416782
238,Uptown,PA,40.435902500000005,-79.9956085
253,Slabtown,PA,39.8275928,-77.5569345
216,Bunkertown,PA,40.650912899999994,-77.2413755
215,Fruittown,PA,40.777564700000006,-77.6649972
232,Bendertown,PA,41.148695200000006,-76.31688249999999
228,McCoytown,PA,41.1425604,-80.0525583
267,Mapletown,PA,39.8045217,-79.9436679
278,Rextown,PA,40.7500951,-75.63740909999999
248,Snufftown,PA,40.8561971,-76.5805125
272,South Pottstown,PA,40.239540999999996,-75.65101990000001
202,Fauncetown,PA,41.6192237,-79.8569994
251,Daisytown,PA,40.319241,-78.900858
223,Fowlerstown,WV,40.2797925,-80.55534920000001
269,Hahntown,PA,40.3184028,-79.71837740000001
233,Rippletown,PA,41.1231385,-75.9371438
212,Cherrytown,PA,41.6811864,-76.2791015
268,Raineytown,PA,40.0403521,-79.6439283
246,Martintown,PA,40.6422896,-78.85169470000001
222,Mahoningtown,PA,40.9745055,-80.3722874
274,McGillstown,PA,40.3887016,-76.52496540000001
284,Browntown,PA,40.6717657,-75.22795450000001
265,Mogeetown,PA,40.107886799999996,-75.31295959999999
263,Cooperstown,PA,40.3059033,-79.365314
217,Blowtown,PA,41.295895200000004,-78.93475600000001
277,Winterstown,PA,39.83537929999999,-76.6180234
208,Draketown,PA,41.1131238,-77.4691509
252,Upper Dutchtown,PA,40.42007279999999,-78.63862929999999
266,Nicetown,PA,40.0131678,-75.15684379999999
245,Pilltown,PA,40.1714652,-79.0130824
273,Weavertown,PA,40.3600921,-76.2896756
271,Silvertown,PA,40.260833,-75.817193
190,Freytown,PA,41.297307,-75.4451843
283,Hecktown,PA,40.6931533,-75.3349018
254,Ragtown,WV,39.6484138,-80.2650766
264,Binnstown,PA,40.0153516,-79.9675507
279,Newtown,PA,40.550651200000004,-75.66074499999999
157,Campbelltown,PA,41.7120067,-78.652804
280,Paletown,PA,40.4264911,-75.31573259999999
203,Dogtown,PA,41.5792422,-76.9241296
82,Saunderstown,RI,41.5078795,-71.42450040000001
111,Cochran Town,SC,33.8732252,-79.070593
113,Tuckertown,SC,33.1762794,-80.10064179999999
78,Kellytown,SC,34.24792539999999,-80.733972
112,Willtown,SC,33.618222499999995,-79.4503355
97,Red Town,SC,34.5918037,-81.5678795
186,Griffintown,TN,36.182556899999994,-87.1375052
172,Reidtown,TN,35.980650399999995,-83.2796062
173,Shipetown,TN,36.0745286,-83.7629584
179,Lovetown,TN,35.643682899999995,-87.2511214
134,Bucktown,TN,35.270079700000004,-88.19503490000001
181,Johnstown,TN,35.3473017,-86.2011005
169,Hornertown,TN,35.658681200000004,-87.58751840000001
187,Gabtown,TN,36.3901021,-82.61598559999999
139,Kelley Town,TN,36.0375777,-84.3610392
129,Stringtown,TN,35.8928439,-85.3019137
170,Starkeytown,TN,35.732868700000004,-83.5765551
166,Cayuga Town,TN,35.409793,-84.9777292
178,Jamestown,TN,35.9639514,-86.78361059999999
174,Henardtown,TN,36.3842618,-83.0126642
38,Turnertown,TX,32.18988,-94.94966170000001
17,Pioneer Town,TX,29.986047600000003,-98.10806509999999
41,Biardstown,TX,33.538718599999996,-95.5055107
36,Stringtown,TX,31.191856800000004,-93.9257423
37,Harrison Town,TX,31.4012919,-95.22299559999999
26,Springtown,TX,32.9659566,-97.6836384
132,Richtown,VA,37.7548606,-76.4602276
159,Georgetown,VA,37.6840325,-77.3541467
118,Rackettown,VA,36.863457000000004,-80.828964
209,Hightown,VA,38.526511,-78.80391350000001
260,Franklintown,WV,39.2048254,-77.93416309999999
117,Mitchelltown,VA,38.0129038,-79.81144090000001
210,Newtown,VA,38.2376317,-78.3372296
239,Blevinstown,VA,38.82622429999999,-77.3705418
250,Germantown,VA,38.6137328,-77.7416588
249,Frogtown,VA,38.90872279999999,-77.8455503
76,Moretown,VT,44.2508918,-72.76094959999999
11,Georgetown,WA,47.5517653,-122.3290145
12,Swantown,WA,48.30510039999999,-122.71295049999999
46,Chinatown,WI,43.6845704,-88.1632662
192,Goldtown,WV,38.61175720000001,-81.6529053
236,Georgetown,WV,39.5739856,-77.96249859999999
234,Clemtown,WV,39.2325969,-79.9773007
145,Georgetown,WV,38.9606526,-80.3845316
109,Greenstown,WV,37.960945200000005,-81.1473244
