ville_DensityBasedClustering4minfeature.OBJECTID,ville_DensityBasedClustering4minfeature.SOURCE_ID,cluster,ville_DensityBasedClustering4minfeature.PROB,ville_DensityBasedClustering4minfeature.OUTLIER,ville_DensityBasedClustering4minfeature.EXEMPLAR,ville_DensityBasedClustering4minfeature.STABILITY,ville_DensityBasedClustering4minfeature.COLOR_ID,ville.FID,Suffix,Placename,State,Lat,Long
1,0,184,1,0,1,0.025315669,6,0,ville,Abbeville,AL,31.5718352,-85.2504893
2,1,338,1,0,1,0.083473897,7,1,ville,Acipcoville,AL,33.5562162,-86.8430471
3,2,338,0.669652442,0.330347558,0,0.083473897,7,2,ville,Adamsville,AL,33.6009389,-86.9561059
5,4,347,1,0,1,0.062021755,8,4,ville,Albertville,AL,34.2675937,-86.2088669
6,5,216,0.69342036,0.30657964,0,0.048732102,8,5,ville,Aliceville,AL,33.1295681,-88.1514166
7,6,198,1,0,1,0.048272104,6,6,ville,Allenville,AL,30.7029675,-88.0788886
8,7,319,1,0,1,0.077938768,1,7,ville,Allenville,AL,32.490969,-87.6608407
9,8,335,1,0,1,0.026842616,3,8,ville,Austinville,AL,34.5748149,-87.0086207
10,9,328,0.902480704,0.097519296,0,0.013753361,7,9,ville,Autaugaville,AL,32.4340249,-86.6547019
11,10,338,1,0,1,0.083473897,7,10,ville,Bartonville,AL,33.5748264,-86.7805459
12,11,279,1,0,1,0.003057864,3,11,ville,Belleville,AL,31.4298882,-87.109144
14,13,335,0.836443305,0.163556695,0,0.026842616,3,13,ville,Bonneville,AL,34.8464764,-86.9358392
16,15,215,0.717467483,0.282532517,0,0.021867038,6,15,ville,Brewersville,AL,32.5165261,-88.0919659
18,17,335,1,0,1,0.026842616,3,17,ville,Brooksville,AL,34.5009267,-86.8550033
19,18,279,1,0,1,0.003057864,3,18,ville,Brownville,AL,31.4684979,-86.9005282
21,20,338,0.606310689,0.393689311,0,0.083473897,7,20,ville,Brownville,AL,33.4409417,-86.9119362
22,21,330,0.76201758,0.23798242,0,0.030889414,1,21,ville,Buckville,AL,32.5209689,-85.8635692
25,24,330,0.830574993,0.169425007,0,0.030889414,1,24,ville,Carrville,AL,32.5498569,-85.8699585
27,26,338,0.87242296,0.12757704,0,0.083473897,7,26,ville,Chalkville,AL,33.653158,-86.6477659
28,27,180,0.700934585,0.299065415,0,0.016145425,1,27,ville,Clintonville,AL,31.4071125,-85.8941078
29,28,148,1,0,1,0.021508975,8,28,ville,Coffeeville,AL,31.7579353,-88.0897308
30,29,347,1,0,1,0.062021755,8,29,ville,Corbinville,AL,34.2831488,-86.1874777
31,30,330,0.750263522,0.249736478,0,0.030889414,1,30,ville,Dadeville,AL,32.831238,-85.7635692
32,31,180,0.744172601,0.255827399,0,0.016145425,1,31,ville,Daleville,AL,31.3101719,-85.7129908
33,32,278,1,0,1,0.047552389,4,32,ville,Danielsville,AL,31.9207064,-86.4063574
34,33,338,1,0,1,0.083473897,7,33,ville,Danville,AL,33.5923261,-86.7699903
36,35,211,1,0,1,0.026798416,5,35,ville,Dixonville,AL,31.0004595,-87.0360774
37,36,328,1,0,1,0.013753361,7,36,ville,Dosterville,AL,32.4384696,-86.4496961
38,37,212,0.834591599,0.165408401,0,0.017698204,2,37,ville,Douglasville,AL,30.8660188,-87.7855477
39,38,338,1,0,1,0.083473897,7,38,ville,Douglasville,AL,33.5542714,-86.7983237
