Cluster,Placename,State,Lat,Long
184,Shorterville,AL,31.570169,-85.1013186
338,Oakville,AL,33.5745483,-86.6980439
347,McVille,AL,34.286204,-86.1277542
216,Pickensville,AL,33.227345,-88.2664225
198,Toulminville,AL,30.7188003,-88.0908335
319,Allenville,AL,32.490969,-87.6608407
335,Mooresville,AL,34.628425,-86.8802819
328,Burkville,AL,32.3281945,-86.5369197
279,Belleville,AL,31.429888199999997,-87.109144
215,Sumterville,AL,32.7118,-88.2389168
330,North Dadeville,AL,32.8576262,-85.7727363
180,Millville,AL,31.029346399999998,-85.7127108
148,Tattlersville,AL,31.7126588,-88.0563959
278,Honoraville,AL,31.8507084,-86.40607879999999
211,Sellersville,FL,30.9918485,-86.9280184
212,Freemanville,AL,31.071845899999996,-87.5208171
322,Curryville,GA,34.4436993,-85.0788365
332,Bentleyville,AL,32.956232899999996,-86.2602508
261,Littleville,AL,34.2514878,-87.5750236
177,Crossville,AL,33.7439976,-88.0022479
258,Simsville,AL,32.1045938,-85.87078580000001
334,Huntsville,AL,34.730368799999994,-86.5861037
296,Petersville,AL,34.8553645,-87.691695
339,Pulliamville,AL,33.441774800000005,-86.12219420000001
178,Eggville,MS,34.3309375,-88.56838359999999
318,Pondville,AL,32.9051252,-87.3111108
346,Morrisville,AL,33.7267671,-85.95719100000001
326,Plantersville,AL,32.656797499999996,-86.9244334
323,Rossville,GA,34.9831309,-85.2860676
149,Blackville,AR,35.4834154,-91.16484670000001
116,Douglasville,AR,34.714536700000004,-92.3598754
160,Annieville,AR,36.15506920000001,-91.24040809999998
100,Nashville,AR,33.945669200000005,-93.84712900000001
112,Branchville,AR,33.9023245,-91.88096800000001
111,Knoxville,AR,35.3820285,-93.3643479
113,Farmville,AR,33.5156672,-92.19041990000001
115,Mooresville,AR,35.0078664,-91.6948578
103,Porterville,LA,32.9459713,-93.4579505
169,Batesville,MO,36.6989448,-90.24621490000001
166,Riceville,AR,35.1231472,-90.2259286
161,Denieville,AR,35.8042428,-91.7237526
168,Tinkerville,MO,36.190622600000005,-89.9598124
102,Downsville,LA,32.6268108,-92.4143096
118,Conville,AR,36.2645128,-92.45293829999999
117,Colville,AR,36.258688299999996,-94.1946494
4,Fordville,AZ,32.7045131,-110.69426750000001
3,Cruzville,NM,33.8072758,-108.6653406
5,Cornville,AZ,34.7177989,-111.92154380000001
28,Hydesville,CA,40.5476338,-124.097272
45,Nashville,CA,38.5787952,-120.8452145
38,Mercuryville,CA,38.776017700000004,-122.82193810000001
44,Schellville,CA,38.246027000000005,-122.43970149999998
27,Keyesville,CA,35.625786100000006,-118.5109199
26,Tonyville,CA,36.2485614,-119.0906602
40,Bruceville,CA,38.335745700000004,-121.41717390000001
43,Somersville,CA,37.956867100000004,-121.86440159999998
