wood_DensityBasedClustering4minfeature.OBJECTID,wood_DensityBasedClustering4minfeature.SOURCE_ID,cluster,wood_DensityBasedClustering4minfeature.PROB,wood_DensityBasedClustering4minfeature.OUTLIER,wood_DensityBasedClustering4minfeature.EXEMPLAR,wood_DensityBasedClustering4minfeature.STABILITY,wood_DensityBasedClustering4minfeature.COLOR_ID,wood.FID,Suffix,Placename,State,Lat,Long
2,1,82,0.096871158,0.903128842,0,0.09180341,2,1,wood,Beechwood,AL,32.1259773,-86.6560885
3,2,83,0.656143188,0.343856812,0,0.01049046,5,2,wood,Bellwood,AL,31.1732308,-85.7932681
4,3,125,0.297575357,0.702424643,0,0.114263959,3,3,wood,Belwood,AL,33.4681631,-86.9116587
5,4,83,0.714939813,0.285060187,0,0.01049046,5,4,wood,Blackwood,AL,31.3873937,-85.4082681
6,5,126,0.185094012,0.814905988,0,0.228796238,8,5,wood,Brookwood,AL,33.2556719,-87.3208336
7,6,83,1,0,1,0.01049046,5,6,wood,Cottonwood,AL,31.0487933,-85.3049326
8,7,125,0.169518902,0.830481098,0,0.114263959,3,7,wood,Dogwood,AL,33.1512286,-86.873045
9,8,126,0.145720343,0.854279657,0,0.228796238,8,8,wood,East Brookwood,AL,33.2776157,-87.2902774
10,9,125,0.417077761,0.582922239,0,0.114263959,3,9,wood,Eastwood,AL,33.5481601,-86.7613784
12,11,125,1,0,1,0.114263959,3,11,wood,Edgewood,AL,33.4676067,-86.810823
13,12,121,0.378853679,0.621146321,0,0.041493801,8,12,wood,Elkwood,AL,34.977586,-86.7236099
14,13,82,0.445083223,0.554916777,0,0.09180341,2,13,wood,Flatwood,AL,32.4504141,-86.2610799
15,14,106,1,0,1,0.00010596,1,14,wood,Flatwood,AL,32.1493111,-87.5230557
17,16,125,0.254582331,0.745417669,0,0.114263959,3,16,wood,Garywood,AL,33.4598303,-86.9638821
20,19,125,0.381209355,0.618790645,0,0.114263959,3,19,wood,Greenwood,AL,33.3259456,-86.9361027
22,21,125,1,0,1,0.114263959,3,21,wood,Hollywood,AL,33.4728841,-86.7830446
23,22,121,0.247235266,0.752764734,0,0.041493801,8,22,wood,Hollywood,AL,34.72425,-85.9724787
24,23,125,1,0,1,0.114263959,3,23,wood,Homewood,AL,33.4717732,-86.8008228
25,24,125,0.417077761,0.582922239,0,0.114263959,3,24,wood,Lakewood,AL,33.557882,-86.7133218
26,25,121,1,0,1,0.041493801,8,25,wood,Lakewood,AL,34.7795348,-86.5877708
27,26,125,0.393557991,0.606442009,0,0.114263959,3,26,wood,Larkwood,AL,33.6537137,-86.6963783
28,27,121,0.326225789,0.673774211,0,0.041493801,8,27,wood,Lattiwood,AL,34.2728716,-86.284147
29,28,82,0.186298109,0.813701891,0,0.09180341,2,28,wood,Lightwood,AL,32.7117957,-86.3891412
30,29,125,0.175642363,0.824357637,0,0.114263959,3,29,wood,Maplewood,AL,33.5389932,-86.5527623
31,30,121,0.844403469,0.155596531,0,0.041493801,8,30,wood,Maplewood,AL,34.6981468,-86.7583322
32,31,121,0.326225789,0.673774211,0,0.041493801,8,31,wood,Meadowood,AL,34.3637045,-86.5102669
33,32,106,1,0,1,0.00010596,1,32,wood,Myrtlewood,AL,32.2504214,-87.9497371
34,33,125,0.449056534,0.550943466,0,0.114263959,3,33,wood,Norwood,AL,33.5339939,-86.7991568
35,34,125,0.316734073,0.683265927,0,0.114263959,3,34,wood,Oakwood,AL,33.3906659,-86.9644371
36,35,121,1,0,1,0.041493801,8,35,wood,Oakwood,AL,34.746202,-86.6088823
37,36,125,0.381209355,0.618790645,0,0.114263959,3,36,wood,Parkwood,AL,33.362333,-86.879435
38,37,106,1,0,1,0.00010596,1,37,wood,Riderwood,AL,32.1287567,-88.3278042
39,38,125,0.417077761,0.582922239,0,0.114263959,3,38,wood,Robinwood,AL,33.6151033,-86.7488791
40,39,105,0.820784825,0.179215175,0,0.006240082,6,39,wood,Rockwood,AL,34.4550956,-87.7847551
41,40,125,0.375812078,0.624187922,0,0.114263959,3,40,wood,Shadywood,AL,33.577326,-86.6916549
42,41,125,1,0,1,0.114263959,3,41,wood,Southwood,AL,33.4698286,-86.782489
43,42,53,0.211501445,0.788498555,0,0.076280536,7,42,wood,Steelwood,AL,30.7157453,-87.7847137
44,43,105,1,0,1,0.006240082,6,43,wood,Underwood,AL,34.8711975,-87.7008616
45,44,125,0.238972122,0.761027878,0,0.114263959,3,44,wood,Westwood,AL,33.5862166,-86.9252717
46,45,125,0.143214377,0.856785623,0,0.114263959,3,45,wood,Yerkwood,AL,33.6878839,-87.0799986
47,46,83,1,0,1,0.01049046,5,46,wood,Glenwood,AL,31.2482303,-85.4149335
48,47,53,0.197786496,0.802213504,0,0.076280536,7,47,wood,Eastwood,AL,30.8907404,-87.7530469
49,48,125,0.201762813,0.798237187,0,0.114263959,3,48,wood,Brentwood,AL,33.7773226,-86.6291559
50,49,82,0.356420303,0.643579697,0,0.09180341,2,49,wood,Kingswood,AL,32.4837463,-86.3716389
51,50,82,0.291187242,0.708812758,0,0.09180341,2,50,wood,Knollwood,AL,32.5118012,-86.3755282
52,51,106,1,0,1,0.00010596,1,51,wood,Knoxwood,AL,32.5126359,-87.7939007
53,52,113,1,0,1,0.060020446,4,52,wood,Collingwood,AL,32.6595777,-85.3885576
54,53,113,1,0,1,0.060020446,4,53,wood,Lakewood,AL,32.6645774,-85.42717
55,54,113,1,0,1,0.060020446,4,54,wood,Pickwood,AL,32.6265228,-85.4788381
56,55,113,1,0,1,0.060020446,4,55,wood,Tanglewood,AL,32.5768021,-85.4696709
57,56,106,0.993757136,0.006242864,0,0.00010596,1,56,wood,Millwood,AL,32.6606882,-87.750844
59,58,119,1,0,1,0.000924861,7,58,wood,Eastwood,AL,33.8112126,-85.7513533
60,59,119,1,0,1,0.000924861,7,59,wood,Parkwood,AL,33.6903802,-85.8644106
61,60,121,0.509102355,0.490897645,0,0.041493801,8,60,wood,Brookwood,AL,34.793422,-86.9363949
62,61,121,0.540828999,0.459171001,0,0.041493801,8,61,wood,Cottonwood,AL,34.7853668,-86.9263946
63,62,82,0.333911154,0.666088846,0,0.09180341,2,62,wood,Foxwood,AL,32.3209738,-86.1252404
64,63,82,0.329717996,0.670282004,0,0.09180341,2,63,wood,Grovewood,AL,32.3673605,-86.3994161
65,64,82,1,0,1,0.09180341,2,64,wood,Hillwood,AL,32.3548612,-86.2541341
66,65,82,0.209452558,0.790547442,0,0.09180341,2,65,wood,Knollwood,AL,32.3645839,-86.0494051
67,66,82,0.697410365,0.302589635,0,0.09180341,2,66,wood,Mosswood,AL,32.2965296,-86.2360772
68,67,82,1,0,1,0.09180341,2,67,wood,Sherwood,AL,32.3798605,-86.2535788
69,68,82,0.879890023,0.120109977,0,0.09180341,2,68,wood,Wareingwood,AL,32.3884713,-86.2533011
70,69,82,1,0,1,0.09180341,2,69,wood,Wildwood,AL,32.341806,-86.2727456
71,70,82,0.426607727,0.573392273,0,0.09180341,2,70,wood,Windwood,AL,32.3073622,-86.3458028
72,71,53,1,0,1,0.076280536,7,71,wood,Bellwood,AL,30.7154671,-88.1500021
73,72,53,1,0,1,0.076280536,7,72,wood,Bridlewood,AL,30.6649129,-88.1166673
74,73,53,1,0,1,0.076280536,7,73,wood,Brookwood,AL,30.6682462,-88.1077781
75,74,53,0.701234719,0.298765281,0,0.076280536,7,74,wood,Creekwood,AL,30.6529689,-88.2194483
76,75,53,1,0,1,0.076280536,7,75,wood,Deerwood,AL,30.7135227,-88.160558
77,76,53,0.816287594,0.183712406,0,0.076280536,7,76,wood,Norwood,AL,30.7690768,-88.0902783
78,77,53,0.926571399,0.073428601,0,0.076280536,7,77,wood,Parkwood,AL,30.7557438,-88.1597248
79,78,53,0.513700024,0.486299976,0,0.076280536,7,78,wood,Pine Wood,AL,30.8196308,-88.076389
80,79,53,0.529997476,0.470002524,0,0.076280536,7,79,wood,Robinwood,AL,30.5918596,-88.2050031
81,80,53,0.560645993,0.439354007,0,0.076280536,7,80,wood,Sherwood,AL,30.6196363,-88.0833324
82,81,126,0.087940937,0.912059063,0,0.228796238,8,81,wood,Driftwood,AL,33.5256653,-87.2374991
83,82,125,0.274653108,0.725346892,0,0.114263959,3,82,wood,Oakwood,AL,33.5681614,-86.9377717
86,85,105,1,0,1,0.006240082,6,85,wood,Beechwood,AL,34.842309,-87.658639
87,86,105,1,0,1,0.006240082,6,86,wood,Creekwood,AL,34.8475867,-87.6478054
88,87,125,0.58930673,0.41069327,0,0.114263959,3,87,wood,Heatherwood,AL,33.3931646,-86.7538768
89,88,125,0.23758691,0.76241309,0,0.114263959,3,88,wood,Kingwood,AL,33.263725,-86.8255443
90,89,125,0.166584266,0.833415734,0,0.114263959,3,89,wood,Underwood,AL,33.1501175,-86.8624892
91,90,125,0.412256102,0.587743898,0,0.114263959,3,90,wood,Valdawood,AL,33.368721,-86.7630436
