Cluster,Placename,State,Lat,Long
82,Sherwood,AL,32.3798605,-86.2535788
83,Brentwood,AL,31.2504521,-85.4485449
125,Homewood,AL,33.4717732,-86.8008228
126,Rosewood,AL,33.2015075,-87.51611640000002
121,Oakwood,AL,34.746202000000004,-86.60888229999999
106,Myrtlewood,AL,32.2504214,-87.9497371
105,Beechwood,AL,34.842309,-87.65863900000001
53,Bellwood,AL,30.7154671,-88.1500021
113,Lakewood,AL,32.6645774,-85.42716999999999
119,Eastwood,AL,33.8112126,-85.75135329999999
44,Rainwood,AR,34.769813799999994,-92.4048772
45,Greenwood,AR,35.45008970000001,-94.44104820000001
71,Harwood,AR,33.162898600000005,-91.128164
73,Country Wood,TN,35.5625808,-89.667301
74,Hollywood,MS,34.7453777,-90.35815440000002
6,Millwood,CO,37.42166160000001,-108.33369540000001
3,Sagewood,AZ,33.3881028,-111.83680690000001
24,Rollingwood,CA,37.9652012,-122.3299705
13,Wyvernwood,CA,34.024179700000005,-118.21451699999999
19,Pepperwood,CA,40.4459712,-123.99282190000001
25,Cottonwood,CA,40.38570870000001,-122.28083559999999
20,Homewood,CA,39.0868516,-120.16019009999998
5,Lakewood,CO,39.7047095,-105.08137340000002
111,Edgewood,CT,41.7025985,-72.9242692
110,Knollwood,CT,41.266765299999996,-72.3834181
228,Rollingwood,MD,38.9834435,-77.06858869999999
212,Burwood,DE,39.092890399999995,-75.5618694
211,Lochwood,DE,38.6790014,-75.1960194
218,Meadowood,DE,39.7084453,-75.6871536
219,Galewood,DE,39.7917795,-75.5260332
66,Englewood,FL,30.287462199999997,-81.6262047
49,Candlewood,FL,27.9768,-82.3643
48,Longwood,FL,28.7030519,-81.3384011
4,West Hollywood,FL,26.0206457,-80.1839357
63,Robinswood,FL,29.6177455,-82.3809386
65,Creekwood,GA,30.794123,-81.69482629999999
114,East Edgewood,GA,32.482919800000005,-84.918542
139,Briarwood,GA,34.2234356,-83.8718449
86,Fleetwood,GA,32.0313218,-81.07316750000001
107,Edgewood,GA,31.5890625,-84.185464
163,Edgewood,GA,33.7617726,-84.341314
162,Fernwood,GA,33.6153874,-84.30436740000002
84,Northwood,GA,30.8760339,-83.2998753
158,Kenwood,GA,33.5115019,-84.4360372
135,Knollwood,TN,35.1161832,-85.2857916
131,Tanglewood,GA,33.929837899999995,-83.42043740000001
132,Westwood,GA,34.2659265,-85.22634129999999
90,Brynwood,GA,33.4965248,-82.0506728
148,Forkwood,GA,33.8501052,-84.7304916
67,Kingswood,GA,32.4462885,-81.76566690000001
64,Youngwood,GA,31.1702313,-81.38565240000001
122,Brookwood,GA,32.824306400000005,-83.6832373
127,Wildwood,GA,33.065401300000005,-85.0735505
144,Country Wood,GA,33.5592803,-83.9601873
151,Howell Wood,GA,33.9945451,-84.1754729
152,Ridgewood,GA,34.0070471,-83.9832389
32,Lakewood,IA,41.501656700000005,-93.6741082
26,Beechwood,NE,41.3236083,-95.9425135
15,Larchwood,IA,43.453586200000004,-96.434205
37,Elmwood,IL,40.7778151,-89.9665017
10,Trentwood,WA,47.6965622,-117.2107634
9,Cottonwood,ID,42.4860071,-116.0081542
46,Bellwood,IL,41.8814197,-87.883117
62,Leatherwood,IN,39.7517062,-87.2852931
38,Brentwood,MO,38.617552200000006,-90.3492829
70,Diswood,IL,37.2314391,-89.3228607
92,Creekwood,IN,39.8772625,-86.1188757
98,Wildwood,IN,41.5947724,-85.1894166
96,Braywood,MI,42.2628131,-86.34585890000001
11,Moorewood,OK,35.740325399999996,-99.34899
12,Maywood,NE,40.6575085,-100.62209140000002
28,Oakwood,MO,39.2019473,-94.570233
33,Sherwood,MO,37.427549400000004,-94.1774445
103,Brookwood,OH,39.2014476,-84.4410528
102,Briarwood,KY,38.2781258,-85.59301640000001
93,Edgewood,KY,37.8738821,-84.57958199999999
101,Eastwood,KY,38.2331259,-85.45579190000001
117,Briarwood,TN,36.5700476,-87.3261186
100,Parkwood,KY,38.1556254,-85.8013515
108,Old Linwood,KY,37.33297,-85.76541
160,Ridgewood,WV,38.40424960000001,-82.4576545
61,Chasewood,LA,32.385155600000004,-93.795458
81,Kingswood,LA,30.058533899999997,-89.9475681
58,Hollywood,LA,30.227705699999998,-93.32598859999999
60,Bellwood,LA,31.527394899999997,-93.2054454
